komnr;komnr_navn;bohfnr;bohf_navn
101;0101 Halden (-2019);14;Østfold
104;0104 Moss (-2019);14;Østfold
105;0105 Sarpsborg (1992-2019);14;Østfold
106;0106 Fredrikstad (1994-2019);14;Østfold
111;0111 Hvaler (-2019);14;Østfold
118;0118 Aremark (-2019);14;Østfold
119;0119 Marker (-2019);14;Østfold
121;0121 Rømskog (-2019);15;Akershus
122;0122 Trøgstad (-2019);14;Østfold
123;0123 Spydeberg (-2019);14;Østfold
124;0124 Askim (-2019);14;Østfold
125;0125 Eidsberg (-2019);14;Østfold
127;0127 Skiptvet (-2019);14;Østfold
128;0128 Rakkestad (-2019);14;Østfold
135;0135 Råde (-2019);14;Østfold
136;0136 Rygge (-2019);14;Østfold
137;0137 Våler (Østfold) (-2019);14;Østfold
138;0138 Hobøl (-2019);14;Østfold
211;0211 Vestby (-2019);15;Akershus
213;0213 Ski (-2019);15;Akershus
214;0214 Ås (-2019);15;Akershus
215;0215 Frogn (-2019);15;Akershus
216;0216 Nesodden (-2019);15;Akershus
217;0217 Oppegård (-2019);15;Akershus
219;0219 Bærum (-2019);20;Vestre Viken
220;0220 Asker (-2019);20;Vestre Viken
221;0221 Aurskog-Høland (-2019);15;Akershus
226;0226 Sørum (-2019);15;Akershus
227;0227 Fet (-2019);15;Akershus
228;0228 Rælingen (-2019);15;Akershus
229;0229 Enebakk (-2019);15;Akershus
230;0230 Lørenskog (-2019);15;Akershus
231;0231 Skedsmo (-2019);15;Akershus
233;0233 Nittedal (-2019);15;Akershus
234;0234 Gjerdrum (-2019);15;Akershus
235;0235 Ullensaker (-2019);15;Akershus
236;0236 Nes (Akershus) (-2019);19;Innlandet
237;0237 Eidsvoll (-2019);15;Akershus
238;0238 Nannestad (-2019);15;Akershus
301;0301 Oslo kommune;16;Oslo
402;0402 Kongsvinger (-2019);15;Akershus
403;0403 Hamar (1992-2019);19;Innlandet
412;0412 Ringsaker (-2019);19;Innlandet
415;0415 Løten (-2019);19;Innlandet
417;0417 Stange (-2019);19;Innlandet
418;0418 Nord-Odal (-2019);15;Akershus
419;0419 Sør-Odal (-2019);15;Akershus
420;0420 Eidskog (-2019);15;Akershus
423;0423 Grue (-2019);15;Akershus
425;0425 Åsnes (-2019);19;Innlandet
426;0426 Våler (Hedmark) (-2019);19;Innlandet
427;0427 Elverum (-2019);19;Innlandet
428;0428 Trysil (-2019);19;Innlandet
429;0429 Åmot (-2019);19;Innlandet
430;0430 Stor-Elvdal (-2019);19;Innlandet
432;0432 Rendalen (-2019);19;Innlandet
434;0434 Engerdal (-2019);19;Innlandet
436;0436 Tolga (-2019);19;Innlandet
437;0437 Tynset (-2019);19;Innlandet
438;0438 Alvdal (-2019);19;Innlandet
439;0439 Folldal (-2019);19;Innlandet
441;0441 Os (Hedmark) (1976-2019);19;Innlandet
501;0501 Lillehammer (-2019);19;Innlandet
502;0502 Gjøvik (-2019);19;Innlandet
511;0511 Dovre (-2019);19;Innlandet
512;0512 Lesja (-2019);19;Innlandet
513;0513 Skjåk (-2019);19;Innlandet
514;0514 Lom (-2019);19;Innlandet
515;0515 Vågå (-2019);19;Innlandet
516;0516 Nord-Fron (-2019);19;Innlandet
517;0517 Sel (-2019);19;Innlandet
519;0519 Sør-Fron (-2019);19;Innlandet
520;0520 Ringebu (-2019);19;Innlandet
521;0521 Øyer (-2019);19;Innlandet
522;0522 Gausdal (-2019);19;Innlandet
528;0528 Østre Toten (-2019);19;Innlandet
529;0529 Vestre Toten (-2019);19;Innlandet
532;0532 Jevnaker (-2019);20;Vestre Viken
533;0533 Lunner (-2019);19;Innlandet
534;0534 Gran (-2019);19;Innlandet
536;0536 Søndre Land (-2019);19;Innlandet
538;0538 Nordre Land (-2019);19;Innlandet
540;0540 Sør-Aurdal (-2019);19;Innlandet
541;0541 Etnedal (-2019);19;Innlandet
542;0542 Nord-Aurdal (-2019);19;Innlandet
543;0543 Vestre Slidre (-2019);19;Innlandet
544;0544 Øystre Slidre (-2019);19;Innlandet
545;0545 Vang (-2019);19;Innlandet
602;0602 Drammen (-2019);20;Vestre Viken
604;0604 Kongsberg (-2019);20;Vestre Viken
605;0605 Ringerike (1977-2019);20;Vestre Viken
612;0612 Hole (1977-2019);20;Vestre Viken
615;0615 Flå (-2019);20;Vestre Viken
616;0616 Nes (Buskerud) (-2019);20;Vestre Viken
617;0617 Gol (-2019);20;Vestre Viken
618;0618 Hemsedal (-2019);20;Vestre Viken
619;0619 Ål (-2019);20;Vestre Viken
620;0620 Hol (-2019);20;Vestre Viken
621;0621 Sigdal (-2019);20;Vestre Viken
622;0622 Krødsherad (-2019);20;Vestre Viken
623;0623 Modum (-2019);20;Vestre Viken
624;0624 Øvre Eiker (-2019);20;Vestre Viken
625;0625 Nedre Eiker (-2019);20;Vestre Viken
626;0626 Lier (-2019);20;Vestre Viken
627;0627 Røyken (-2019);20;Vestre Viken
628;0628 Hurum (-2019);20;Vestre Viken
631;0631 Flesberg (-2019);20;Vestre Viken
632;0632 Rollag (-2019);20;Vestre Viken
633;0633 Nore og Uvdal (-2019);20;Vestre Viken
701;0701 Horten (2002-2019);21;Vestfold
702;0702 Holmestrand (-2017);21;Vestfold
704;0704 Tønsberg (1988-2019);21;Vestfold
706;0706 Sandefjord (-2016);21;Vestfold
709;0709 Larvik (1988-2017);21;Vestfold
710;0710 Sandefjord (2017-2019);21;Vestfold
711;0711 Svelvik (-2019);20;Vestre Viken
712;0712 Larvik (2018-2019);21;Vestfold
713;0713 Sande (Vestfold) (-2019);20;Vestre Viken
714;0714 Hof (-2017);21;Vestfold
715;0715 Holmestrand (2018-2019);21;Vestfold
716;0716 Re (2002-2019);21;Vestfold
719;0719 Andebu (-2016);21;Vestfold
720;0720 Stokke (-2016);21;Vestfold
722;0722 Nøtterøy (-2017);21;Vestfold
723;0723 Tjøme (-2017);21;Vestfold
728;0728 Lardal (-2017);21;Vestfold
729;0729 Færder (2018-2019);21;Vestfold
805;0805 Porsgrunn (-2019);22;Telemark
806;0806 Skien (-2019);22;Telemark
807;0807 Notodden (-2019);22;Telemark
811;0811 Siljan (-2019);22;Telemark
814;0814 Bamble (-2019);22;Telemark
815;0815 Kragerø (-2019);22;Telemark
817;0817 Drangedal (-2019);22;Telemark
819;0819 Nome (-2019);22;Telemark
821;0821 Bø (Telemark) (-2019);22;Telemark
822;0822 Sauherad (-2019);22;Telemark
826;0826 Tinn (-2019);22;Telemark
827;0827 Hjartdal (-2019);22;Telemark
828;0828 Seljord (-2019);22;Telemark
829;0829 Kviteseid (-2019);22;Telemark
830;0830 Nissedal (-2019);22;Telemark
831;0831 Fyresdal (-2019);22;Telemark
833;0833 Tokke (-2019);22;Telemark
834;0834 Vinje (-2019);22;Telemark
901;0901 Risør (-2019);23;Sørlandet
904;0904 Grimstad (-2019);23;Sørlandet
906;0906 Arendal (1992-2019);23;Sørlandet
911;0911 Gjerstad (-2019);23;Sørlandet
912;0912 Vegårshei (-2019);23;Sørlandet
914;0914 Tvedestrand (-2019);23;Sørlandet
919;0919 Froland (-2019);23;Sørlandet
926;0926 Lillesand (-2019);23;Sørlandet
928;0928 Birkenes (-2019);23;Sørlandet
929;0929 Åmli (-2019);23;Sørlandet
935;0935 Iveland (-2019);23;Sørlandet
937;0937 Evje og Hornnes (-2019);23;Sørlandet
938;0938 Bygland (-2019);23;Sørlandet
940;0940 Valle (-2019);23;Sørlandet
941;0941 Bykle (-2019);23;Sørlandet
1001;1001 Kristiansand (-2019);23;Sørlandet
1002;1002 Mandal (-2019);23;Sørlandet
1003;1003 Farsund (-2019);23;Sørlandet
1004;1004 Flekkefjord (-2019);23;Sørlandet
1014;1014 Vennesla (-2019);23;Sørlandet
1017;1017 Songdalen (-2019);23;Sørlandet
1018;1018 Søgne (-2019);23;Sørlandet
1021;1021 Marnardal (-2019);23;Sørlandet
1026;1026 Åseral (-2019);23;Sørlandet
1027;1027 Audnedal (-2019);23;Sørlandet
1029;1029 Lindesnes (-2019);23;Sørlandet
1032;1032 Lyngdal (-2019);23;Sørlandet
