"id";"dg_id";"title";"type";"min_denominator";"level_green";"level_yellow";"level_direction";"short_description";"long_description"
"hjerteinfarkt_ace_aiiantag_ind";"hjerteinfarkt_dg";"ACE-hemmer/AII-antagonist hvis indikasjon";"andel";10;0,8;0,7;1;"Pasienter under 85 år med hjertesvikt eller diabetes som fikk anbefalt medisin (ACE/AII hemmer)";"Kvalitetsindikatoren er definert som andel pasienter under 85 år med hjertesvikt eller diabetes som fikk medikament ACE-hemmer eller AII-antagonist. De europeiske retningslinjene som Norsk cardiologisk selskap har sluttet seg til, anbefaler at pasientene med EF <40 %, eller som har hjertesvikt i tidligere sykehistorie, eller som fikk hjertesvikt som komplikasjon i behandlingskjeden, eller som har diabetes, som hovedregel behandles med ACE-hemmer/AII-antagonist. Hos noen pasienter vil det være medisinsk korrekt å fravike anbefalingene. Høyt målnivå er ønskelig."
"hjerteinfarkt_dg";"";"Dekningsgrad";"andel";10;0,8;0,6;1;"Hvor stor andel av pasienter med hjerteinfarkt som sykehuset meldte til  Norsk hjerteinfarktregister";"God dekningsgrad er en forutsetning for å vurdere kvaliteten på hjerteinfarktbehandlingen ved det enkelte sykehus. Ved registrering må sykehusene rapportere hvem de behandler, hvordan de behandler og hva som oppnås ved behandlingen. På den måten blir registrering av alle hjerteinfarkt ved et sykehus et nødvendig og viktig verktøy for kvalitetsforbedring, og en forutsetning for å kunne bedømme alle de andre kvalitetsindikatorene."
"hjerteinfarkt_ef_maalt";"hjerteinfarkt_dg";"Ejeksjonsfraksjon (EF) målt";"andel";10;0,8;0,6;1;"Undersøkelse av hjertets pumpefunksjon med ultralyd";"Kvalitetsindikatoren er definert som andel pasienter som undersøkes med måling av hjertets pumpefunksjon. De europeiske retningslinjene som Norsk cardiologisk selskap har sluttet seg til, anbefaler at ejeksjonsfraksjon (hjertets pumpefunksjon) som hovedregel blir beskrevet og målt under sykdomsforløpet. Høyt målnivå er ønskelig."
"hjerteinfarkt_invasivt_nstemi";"hjerteinfarkt_dg";"Invasivt utredet ved NSTEMI";"andel";10;0,85;0,7;1;"Pasienter under 85 år med mindre EKG-forandringer som ble undersøkt med røntgen av hjertets blodårer i løpet av behandlingsforløpet";"Kvalitetsindikatoren er definert som andel av pasienter under 85 med mindre EKG-forandringer som ble undersøkt med røntgen av hjertets blodårer i løpet av behandlingskjeden. De europeiske retningslinjene som Norsk cardiologisk selskap har sluttet seg til, anbefaler at pasienter med NSTEMI som hovedregel utredes invasivt med koronar angiografi under sykehusoppholdet. Ved invasiv utredning kartlegges sykdomsutbredelse. Dette er av betydning for risikostratifisering og planlegging av behandlingen. Høyt målnivå er ønskelig."
"hjerteinfarkt_invasivt_nstemi_72t";"hjerteinfarkt_dg";"Invasivt utredet innen 72 timer ved NSTEMI";"andel";10;0,8;0,5;1;"Pasienter under 85 år med mindre EKG-forandringer som ble undersøkt med røntgen av hjertets blodårer innen 72 timer etter innleggelse";"Kvalitetsindikatoren er definert som andel pasienter under 85 år med mindre EKG-forandringer som ble undersøkt med røntgen av hjertets blodårer innen 72 timer etter innleggelse. Europeiske retningslinjer anbefaler at pasienter med NSTEMI som hovedregel gjennomgår invasiv utredning innen 24 timer etter innleggelse. Praksis varierer i Norge. Fagrådet for Norsk hjerteinfarktregister har vurdert foreliggende data og funnet at det ikke foreligger god dokumentasjon for at pasienter med NSTEMI som hovedregel bør utredes innen 24 timer. Fagrådet har derfor valgt å opprettholde utredning innen 72 timer etter innleggelse som nasjonal kvalitetsindikator. Det understrekes at pasientene må risikostratifiseres, og at pasienter med høy risiko må utredes raskt og noen umiddelbart (innen 2 timer). Høyt målnivå er ønskelig."
"hjerteinfarkt_pci_tid";"hjerteinfarkt_dg";"Primær PCI innen anbefalt tid";"andel";10;0,85;0,7;1;"Pasienter under 85 år som i løpet av kort tid ble behandlet med utblokking (PCI)  ved mistanke om tett hjerteåre";"Andel pasienter under 85 år med STEMI og <12 timer fra symptomdebut til første medisinske kontakt som fikk primær PCI innen 120 minutter etter første medisinske kontakt. Primær PCI er definert som angiografi eller PCI som initial metode for å oppnå reperfusjon når angiografi eller PCI ble utført innen 12 timer etter første medisinske kontakt og det ikke var gitt trombolyse på forhånd. De europeiske retningslinjene som Norsk cardiologisk selskap har sluttet seg til, anbefaler at pasienter som har alvorlig hjerteinfarkt med tett hjerteåre får behandling med utblokking (PCI) innen 120 minutter. Høyt målnivå er ønskelig."
"hjerteinfarkt_reper_stemi";"hjerteinfarkt_dg";"Reperfusjonsbehandling ved STEMI";"andel";10;0,9;0,8;1;"Pasienter under 85 år som ble behandlet med blodpropp-løsende medisin eller utblokking ved mistanke om tett hjerteåre";"Denne kvalitetsindikatoren er definert som andel pasienter under 85 år som ble behandlet med blodproppløsende medikament eller utblokking ved alvorlig hjerteinfarkt (STEMI). De europeiske retningslinjene som Norsk cardiologisk selskap har sluttet seg til, anbefaler at pasienter med ST-elevasjonsinfarkt (STEMI) og med <12 timer fra symptomdebut til første medisinske kontakt (FMK) blir behandlet med trombolyse og/eller koronar angiografi/PCI i sykdomsforløpet. Hos noen pasienter vil det være medisinsk korrekt å fravike anbefalingene. Høyt målnivå er ønskelig."
"hjerteinfarkt_reper_stemi_tid";"hjerteinfarkt_dg";"Reperfusjonsbehandling innen anbefalt tid ved STEMI";"andel";10;0,85;0,7;1;"Pasienter under 85 år som  i løpet av kort tid ble behandlet med blodpropp-løsende medisin eller utblokking  ved mistanke om tett hjerteåre";"Kvalitetsindikatoren er definert som andel av pasienter under 85 år som innen anbefalt tid ble behandlet med blodproppløsende medikament eller utblokking ved mistanke om tett hjerteåre og alvorlig hjerteinfarkt (STEMI). Andel pasienter under 85 år innlagt med STelevasjonsinfarkt (STEMI) og med <12 timer fra symptomdebut til første medisinske kontakt som ble behandlet med trombolyse innen 30 minutter eller koronar angiografi/PCI innen 120 minutter etter første medisinske kontakt. Ved STEMI skal den tette blodåren åpnes så raskt som overhode mulig. Dette vil gi redusert myokardskade og redusert risiko for hjertesvikt og død. Høyt målnivå er ønskelig."
"hjerteinfarkt_tromb_tid";"hjerteinfarkt_dg";"Trombolyse innen anbefalt tid";"andel";10;0,8;0,5;1;"Pasienter under 85 år som  i løpet av kort tid ble behandlet med blodpropp-løsende medisin ved mistanke om tett hjerteåre";"Kvalitetsindikatoren er definert som andel pasienter under 85 år med STEMI som fikk trombolyse innen 30 minutter av de som ble behandlet med trombolyse som initial reperfusjonsmetode. De europeiske retningslinjene som Norsk cardiologisk selskap har sluttet seg til, anbefaler at pasienter som har alvorlig hjerteinfarkt med tett hjerteåre får blodproppløsende medikament innen 30 minutter hvis pasienten ikke kan behandles med utblokking (PCI) innen 120 minutter. Høyt målnivå er ønskelig."
"hjerteinfarkt_ut_antitromb";"hjerteinfarkt_dg";"Utskrevet med antitrombotisk behandling";"andel";10;0,9;0,8;1;"Pasienter under 85 år som behandles med to medikament for å forebygge ny blodpropp etter hjerteinfarktet";"Kvalitetsindikatoren er definert som andel av pasienter under 85 år som behandles med to platehemmende medikament eller et platehemmende medikament og et antikoagulasjonsbehandlende medikament etter hjerteinfarktet. Antitrombotisk behandling gir prognostisk gevinst. De europeiske retningslinjene som Norsk cardiologisk selskap har sluttet seg til, anbefaler at pasientene som hovedregel behandles i 12 måneder med to medikament for å hindre blodpropp etter hjerteinfarktet. Hos noen pasienter vil det være medisinsk korrekt å fravike anbefalingene. Høyt målnivå er ønskelig."
