"id";"dg_id";"title";"type";"min_denominator";"level_green";"level_yellow";"level_direction";"short_description";"long_description"
"barnediabetes_dg";"";"Andel pasienter som har fått utført årskontroll";"andel";10;0,95;0,8;1;"Dekningsgrad på årskontroll beregnes ut fra ifra antall pasienter registrert i BDR som har tatt årskontroll og avdelingens egen pasientoversikt over hvem som skal ta årskontroll.";"Dekningsgrad på årskontroll beregnes ut fra ifra antall pasienter registrert i BDR som har tatt årskontroll og avdelingens egen pasientoversikt over hvem som skal ta årskontroll."
"barnediabetes_hba1c_ge_9";"barnediabetes_dg";"HbA1c ≥ 9,0 %";"andel";10;0,05;0,1;0;"Andel pasienter med HbA1c > 9,0";"Andel pasienter med HbA1c > 9,0"
"barnediabetes_hba1c_lt_7";"barnediabetes_dg";"HbA1c < 7,0 %";"andel";10;0,4;0,2;1;"Andel pasienter med HbA1c < 7,0 %";"Andel pasienter med HbA1c < 7,0 %"
"barnediabetes_hba1c_lt_7.5";"barnediabetes_dg";"HbA1c < 7,5 %";"andel";10;0,6;0,4;1;"Andel pasienter med HbA1c < 7,5 %";"Andel pasienter med HbA1c < 7,5 %"
"barnediabetes_ikke_innlagt_dka";"barnediabetes_dg";"Andel som ikke har vært innlagt med DKA";"andel";10;0,97;0,95;1;"Diabetes ketoacidose (DKA)";"Diabetes ketoacidose (DKA)"
"barnediabetes_ikke_sjokk";"barnediabetes_dg";"Andel som ikke har hatt insulinsjokk";"andel";10;0,97;0,95;1;"Insulinsjokk er alvorlig lavt blodsukker med bevistløshet";"Insulinsjokk er alvorlig lavt blodsukker med bevistløshet"
"barnediabetes_maalt_bt";"barnediabetes_dg";"Andel som har målt BT";"andel";10;0,9;0,7;1;"Forhøyet BT er en egen risikofaktor for utvikling av hjertekarsykdom. Dette er en risikofaktor som kan endres ved livsstilsendringer.";"Forhøyet BT er en egen risikofaktor for utvikling av hjertekarsykdom. Dette er en risikofaktor som kan endres ved livsstilsendringer."
"barnediabetes_maalt_coliaki";"barnediabetes_dg";"Andel som har målt cøliakiantistoffer";"andel";10;0,9;0,7;1;"Både cøliaki, hypothyreose og hypothyreose opptrer oftere hos pasienter med type 1 diabetes.";"Både cøliaki, hypothyreose og hypothyreose opptrer oftere hos pasienter med type 1 diabetes. Cøliaki og hypothyreose kan ha lite / diffuse symptomer. Begge sykdommer trenger behandling."
"barnediabetes_maalt_hba1c";"barnediabetes_dg";"Andel målt HbA1c";"andel";10;0,95;0,8;1;"HbA1c reflekterer blodsukkernivå siste 4-12 uker.";"HbA1c reflekterer blodsukkernivå siste 4-12 uker. HbA1c vurderes å være det beste målet på blodsukkerkontroll og den eneste variabelen per i dag som kan relateres til senere utvikling av mikrovaskulære komplikasjoner (øyeskade, nyreskade, nerveskade) og makrovaskulære komplikasjoner (hjertesykdom, slag, amputasjoner)."
"barnediabetes_maalt_lipider";"barnediabetes_dg";"Andel som har målt lipider";"andel";10;0,9;0,7;1;"Dyslipidemi er en egen risikofaktor for hjertekarsykdom. Dette er en risikofaktor som kan bedres ved livsstilsendringer.Forhøyet BT er en egen risikofaktor for utvikling av hjertekarsykdom.";"Dyslipidemi er en egen risikofaktor for hjertekarsykdom. Dette er en risikofaktor som kan bedres ved livsstilsendringer.Forhøyet BT er en egen risikofaktor for utvikling av hjertekarsykdom. Dette er en risikofaktor som kan bedres ved livsstilsendringer."
"barnediabetes_maalt_tsh";"barnediabetes_dg";"Andel som har målt TSH";"andel";10;0,9;0,7;1;"Screening for hypothyreose";"Screening for hypothyreose"
"barnediabetes_oyeundersok_ispad";"barnediabetes_dg";"Andel pasienter tatt øyelegeundersøkelse iht. ISPAD";"andel";10;0,9;0,7;1;"Utviklingen av diabetesretinopati kan bremses / stanses med riktig behandling.";"Utviklingen av diabetesretinopati kan bremses / stanses med riktig behandling."
"barnediabetes_urinprove_ispad";"barnediabetes_dg";"Andel pasienter tatt urinprøve iht. ISPAD";"andel";10;0,9;0,7;1;"Diabetesnefropati starter med persisterende mikroalbuminuri. Denne utviklingen kan bremses / stanses med riktig behandling";"Diabetesnefropati starter med persisterende mikroalbuminuri. Denne utviklingen kan bremses / stanses med riktig behandling"
"barnediabetes_vurdert_infiltrater";"barnediabetes_dg";"Andel som er vurdert for infiltrater";"andel";10;0,9;0,7;1;"Infiltrater (fortykket fettvev) gir nedsatt effekt av insulin. Pasientene må få råd om hvordan unngå dette.";"Infiltrater (fortykket fettvev) gir nedsatt effekt av insulin. Pasientene må få råd om hvordan unngå dette."
