"id";"dg_id";"title";"type";"min_denominator";"level_green";"level_yellow";"level_direction";"short_description";"long_description"
"brystkreft_brystbevarende";"brystkreft_dg_utr";"Andel operert med brystbevarende kirurgi når svulsten er <30mm";"andel";5;0,85;0,69;1;"Brystbevarende kirurgi gir minst like god prognose som det å fjerne hele brystet, når svulsten ikke er for stor eller det er flere svulster i brystet.  Meget god måloppnåelse er 85% eller mer.";"Målsetningen for brystbevarende kirurgi er at pasientene skal ha samme overlevelse som ved å fjerne hele brystet, mastektomi. En forutsetning for brystbevarende operasjon er at brystet strålebehandles og at det er frie reseksjonskanter etter operasjonen, ikke kreftceller igjen i kanten. For de fleste kvinnene er det kosmetiske resultatet bedre ved brystbevarende, enn ved mastektomi etterfulgt av rekonstruksjon. Ved brystbevarende operasjon bevares normal sensibilitet/følelse i huden og konsistensen av brystet. Nesten alle sykehus innfrir moderat måloppnåelse.  Det har vært fokus i fagmiljøet på å øke andelen som får brystbevarende kirurgi og resultatene øker for hvert år. Høyt målenivå for denne kvalitetsindikatoren er 85% eller mer. *Tønsberg og Drammen er her slått sammen til Drammen når det gjelder all kirurgi."
"brystkreft_dg_kir";"";"Rapportering: Kirurgimelding";"andel";5;0,8;0,59;1;"Klinisk meldeskjema for kirurgi gir viktig informasjon om type kirurgisk inngrep og mål for behandlingen. Tønsberg og Drammen er her slått sammen til Drammen. Meget god måloppnåelse er 80% eller mer.";"Klinisk meldeskjema for kirurgi skal sendes inn for alle kvinner som er operert for brystkreft. Kirurgimeldingen er viktig for å vise hva slags type kirurgisk inngrep som er utført  og for å sette mål for behandlingen, kurativt eller palliativt. Sykehus med resulatet på over 80% har høy måloppnåelse. *Tønsberg og Drammen er her slått sammen til Drammen, og Lillehammer og Hamar er slått sammen til Hamar, når det gjelder all kirurgi."
"brystkreft_dg_utr";"";"Rapportering: Utredningsmelding";"andel";5;0,8;0,59;1;"Klinisk meldeskjema for utredning er viktig for å vurdere utredning og behandling. Meget god måloppnåelse er 80% eller mer.";"Klinisk meldeskjema for utredning skal sendes inn for alle kvinner som er utredet for brystkreft. Utredningsmelding er viktig for å vise hvilken type diagnostikk som er utført og den viser sykdomsutbredelsen på diagnosetidspunktet, noe som er viktig for å bestemme videre behandling.  Høyt målenivå for denne kvalitetsindikatoren er 80% eller mer. Sykehus med resulatet på over 80% har høy måloppnåelse."
"brystkreft_ett_inngrep";"brystkreft_dg_utr";"Kun fått utført ett kirurgisk inngrep på primærtumor";"andel";5;0,9;0,79;1;"Ett viktig mål er at kvinnene kun får utført ett kirurgisk inngrep på primærtumor. Tønsberg og Drammen er her slått sammen til Drammen.  Meget god måloppnåelse er 90% eller mer.";"Det er en stor fordel av kvinnen kun får utført ett kirurgisk inngrep på primærtumor, det vil si at det ikke er behov for å operere på nytt etter den første operasjonen. Det er en høy måloppnåelse nasjonalt, noe som gir uttrykk for god diagnostikk og behandling av brystkreftpasientene. Sykehus med resulatet på over 90% har høy måloppnåelse. *Tønsberg og Drammen er her slått sammen til Drammen, og Lillehammer  når det gjelder all kirurgi."
"brystkreft_mr_ct2_ct3";"brystkreft_dg_utr";"Utredet med MR, forbehandlet pasienter med cT2 og cT3 svulster";"andel";5;0,9;0,59;1;"Ved lokalavansert brystkreft skal MR (Magnettomografi) gjennomføres før forbehandling og mot slutten av forbehandlingen.  Meget god måloppnåelse er 90% eller mer.";"Kvinner med lokalavansert brystkreft gjennomgår forbehandling (neoadjvuant behandling) før kirurgi for å minske svulststørrelsen. T2 svulster (svulststørrelsen mellom 2 og 5 cm) og T3 svulster (større eller lik 5 cm) er inkludert. Det kan nå gis neoadjuvant behandling for å minske størrelse med på T2 svulster med mål om å utføre brystbevarende kirurgi. Nesten alle sykehus hadde moderat måloppnåelse. Trolig er det vesentlig underrapportering i bruk av MR. Dette vil følges opp videre, både for å sikre optimal rapportering og for å avdekke om det er reelle forskjeller i bruk av MR. Høyt målenivå for denne kvalitetsindikatoren er 90% eller mer. *Lillehammer og Hamar er her slått sammen til Hamar."
"brystkreft_mr_forb_eksl";"brystkreft_dg_utr";"Andel utredet med MR, forbehandlede kvinner ekskludert";"andel";5;0,1;0,09;1;"MR (Magnettomografi) brukes ved spesielle problemstillinger. Kvinner som har fått forbehandling for å redusere svulsten før kirurgi er ekskludert. Meget god måloppnåelse er 10% eller mer.";"MR (Magnettomografi) brukes ved spesielle problemstillinger ved utredning av brystkreft. Det er store forskjeller mellom de Brystdiagnostiske sentre ved  bruk av MR ved utredning av invasiv brystkreft. Årsaken kan skyldes ulike fortolkninger av handlingsprogrammet, ulik kapasitet på MR maskiner og underrapportering av radiologi og/eller utredningsmeldinger. Dette vil følges opp videre blant radiologene med mål om å harmonisere grunnlaget for bruk av MR. Sykehus med resulatet på over 10% har høy måloppnåelse. *Lillehammer og Hamar er her slått sammen til Hamar."
"brystkreft_overl_5aar";"brystkreft_dg_utr";"5 års relativ overlevelse";"andel";5;0,88;0,87;1;"Relativ overlevelse er en indikator som viser til resultater av den behandlingen og oppfølgingen kvinnene får etter brystkreft. Meget god måloppnåelse er 88% eller mer.";"Relativ overlevelse påvirkes av tidlig diagnostikk via mammografiscreening og brystkreftbehandling. Det er variasjon i oppslutning om det offentlige screeningprogrammet i landet, og kvinnene som hører til de ulike sykehusene vil muligens ha en skjevfordelt sykdomsutbredelse. Estimat på 5 års relativ overlevelse er derfor ikke et godt mål for å si noe om forskjeller i brystkreftbehandling. Den viser et estimat på 5 års relativ overlevelse for kvinner som levde med brystkreft i 2015-2019, fordelt på opptaksområde (det sykehuset som har ansvar for det området der kvinnen bor). Resultat er meget godt og er i tråd med god og tidlig diagnostikk og behandlingspraksis i Norge."
"brystkreft_prim_rekonstr";"brystkreft_dg_utr";"Andel primære rekonstruksjoner for kvinner <69 år";"andel";5;0,4;0,34;1;"Målsettingen med brystrekonstruksjon er å oppnå best mulig rekonstruksjon med minst mulig kirurgisk og onkologisk risiko for kvinnen.  Meget god måloppnåelse er 40% eller mer.";"Primær rekonstruksjon med protese skal tilbys alle kvinner hvor mastektomi planlegges, og hvor kontraindikasjoner ikke foreligger (kormobiditet ovg overvekt). Planlagt strålebehandling etter mastektomi er ikke kontraindikasjon. Det er heller ikke lokalavansert brystkreft med mastektomi etter preoperativ kjemoterapi dersom det ikke foreligger inflammatorisk brystkreft eller innvekst i hud. Den viser andelen pasienter som har fått utført primær rekonstruksjon, fordelt på opptaksområde (det sykehuset som har ansvar for det området der kvinnen bor.) Det fleste opptaksområdene har en økt andel pasienter som har fått utført primær rekonstruksjon etter å ha fjernet brystet i 2019, men det sees fortsatt stor variasjoner mellom områdene. Dette vil følges opp videre i fagmiljøet og overvåkes i de kommende årene. Høyt målenivå for denne kvalitetsindikatoren er 40%."
"brystkreft_sikker_diag";"brystkreft_dg_utr";"Andel med sikker diagnose før operasjon";"andel";5;0,9;0,84;1;"Et viktig mål i utredningen er at en høy andel får stilt en sikker diagnose før kirurgisk inngrep.  Meget god måloppnåelse er 90% eller mer.";"Et mål for kvalitet i den radiologiske utredningen, er andel brystkreftpasienter som får stilt en sikker diagnose før operasjon og at det tas en vevsprøve/biopsi ved utredning. Resultat viser en høy måloppnåelse, og alle Brystdiagnostiske sentre oppfyller disse kravene."
"brystkreft_straale";"brystkreft_dg_utr";"Strålebehandling etter brystbevarende kirurgi";"andel";5;0,95;0,89;1;"Strålebehandling anbefales etter brystbevarende kirurgi. Mottatt stråling i 2018 og 2019.  Meget god måloppnåelse er 95% eller mer.";"Strålebehandling anbefales etter operasjon ved lokalisert brystkreft, det vil si brystkreft i selve brystet og eventuell spredning til lymfeknuter i armhulen på samme side. Målet med strålebehandingen er å redusere risiko for tilbakefall og øke kvinnenes muligheter for å bli helt frisk fra brystkreft. Sykehus med resulatet på over 95% har høy måloppnåelse og resultatene viser av strålebehandling etter brystbevarende kirurgi gis i tråd med retningslinjene. Dataene for 2019 inneholder de som ble operert i 2018 og andelen er de som ble strålebehandlet innen ett år etter brystbevarende kirurgi (Data for 2018 inneholder de som ble operert i 2017 og strålebehandlet innen ett år etter brystbevarende kirurgi.) *Tønsberg og Drammen er her slått sammen til Drammen når det gjelder all kirurgi."
