"id";"dg_id";"title";"type";"min_denominator";"level_green";"level_yellow";"level_direction";"short_description";"long_description"
"hjerneslag_beh_enhet";"hjerneslag_dg";"Andel behandlet i slagenhet";"andel";10;0,9;0,8;1;"Slagenhetsbehandling er av stor betydning for behandlingsresultatet, og nasjonale retningslinjer anbefaler at alle pasienter med hjerneslag bør behandles i slagenhet.";"Det er godt dokumentert at behandling av pasienter med hjerneslag i slagenhet reduserer funksjonshemming, dødelighet og behov for sykehjem. De Nasjonal retningslinjene for behandling og rehabilitering ved hjerneslag anbefaler at alle pasienter med akutt hjerneslag bør behandles i slagenhet. Begrunnelse for måltallene: I praksis vil det være pasienter som på grunn av andre ledsagende lidelser må tas hånd om i andre avdelinger, inkludert pasienter i en terminal fase som ofte bør få være i, eller innlegges i, den avdelingen de er kjent fra tidligere."
"hjerneslag_beh_tromb";"hjerneslag_dg";"Andel behandlet med trombolyse";"andel";10;0,15;0,1;1;"Trombolyse er en er effektiv behandling for mange pasienter med tydelige symptomer pga. hjerneinfarkt, hvis behandlingen kan starte innen 4,5 timer etter debut av symptomene";"I følge de nasjonale retningslinjene er det dokumentert at trombolysebehandling for pasienter med akutt hjerneinfarkt reduserer funksjonshemming hvis behandlingen starter innen 4,5 timer fra symptomdebut. Begrunnelse for måltallene: Det finnes i dag ingen god dokumentasjon på hva som er optimal trombolysefrekvens, fordi dette vil avhenge både av alvorlighetsgrad av hjerneslaget, tid fra symptomdebut til behandling, bivirkninger og behandlingsresultat. Grensene vi har valgt for høy og moderat måloppnåelse på denne indikatoren er identisk med de som benyttes i Sverige og Danmark. Det muliggjør derfor gode sammenligninger, samtidig som vi vet at trombolyseandelen i disse landene er av de høyeste i Europa."
"hjerneslag_dg";"";"Dekningsgrad";"andel";10;0,9;0,7;1;"Dekningsgraden angir hvor komplett registeret er, det vil si hvor stor andel av alle pasienter som var innlagt på sykehus med akutt hjerneslag som er inkludert i registeret.";"For at kvalitetsindikatorer skal være nyttige er det avgjørende med god kompletthet i registreringene. God kompletthet måles langs to akser; dekningsgrad på individnivå og kompletthet i variablene. NHR presenterer kvalitetsindikatorer for sykehus med en dekningsgrad på over 70 % i sine årsrapporter. God dekningsgrad er en forutsetning for å vurdere kvaliteten på slagbehandlingen ved det enkelte sykehus. Dekningsgrad i NHR beregnes gjennom en individbasert sammenstilling av registreringer i Norsk Pasientregister (NPR) og NHR."
"hjerneslag_inn_enhet";"hjerneslag_dg";"Andel direkte innlagt i slagenhet";"andel";10;0,9;0,75;1;"Slagenhetsbehandling er av stor betydning for behandlingsresultatet, og nasjonale retningslinjer anbefaler direkte innleggelse i slagenhet ved akutt hjerneslag.";"Det er veldokumentert at behandling i slagenhet reduserer funksjonshemming, dødelighet og behov for sykehjem. Etter hvert som akuttbehandling har blitt mer framtredende, er det økende dokumentasjon for at direkte innleggelse og behandling i slagenhet også det første døgnet er av betydning for et godt behandlingsresultat. Begrunnelse for måltallene: De nasjonale retningslinjene anbefaler at alle pasienter med akutt hjerneslag bør innlegges direkte i slagenhet. Direkte innlagt i overvåkingsavdeling/intensivavdeling eller nevrokirurgisk avdeling defineres i våre registreringer også som ”direkte innlagt i slagenhet”, hvis pasienten etter nødvendig akuttbehandling i slik enhet overflyttes til slagenhet straks den medisinske tilstanden tillater det."
"hjerneslag_rapport_3mnd";"hjerneslag_dg";"Andel med rapportert status 3 måneder etter hjerneslaget";"andel";10;0,8;0,7;1;"Norsk hjerneslagregister samler inn informasjon om hvordan det går med pasientene 3 måneder etter hjerneslaget. Denne indikatoren viser hvor stor andel av alle pasientene vi har slik informasjon om.";"God dekningsgrad av rapportert status etter 3 måneder er en forutsetning for å vurdere hvordan det går med pasientene. Evaluering av behandlingskvalitet og hva som oppnås med behandlingen er sentralt i oppfølgingen. Definisjon av om oppfølging er gjennomført, er at det foreligger opplysninger om status ved 3 måneder, inkludert død inntruffet innen 3 måneder. Begrunnelse for måltallene: Norsk hjerneslagregister har så langt mest fokus på innregistrering og god dekning i akuttfasen. Høy måloppnåelse på oppfølging satt til 80 %, og 70 % er grensen for moderat måloppnåelse.  Oppfølging av 70 % av pasientene er nødvendig for å kunne gi en god vurdering av behandlingsresultatene. For lavere oppfølging enn 70 % blir resultatene så usikre at de i liten grad kan benyttes for å vurdere kvalitet. Etterhvert som registeret blir bedre implementert tar vi sikte på mer ambisiøse grenser."
"hjerneslag_test_svelg";"hjerneslag_dg";"Andel som har fått vurdert/testet svelgfunksjon";"andel";10;0,95;0,85;1;"Alle pasienter med akutt hjerneslag bør testes systematisk for eventuelle svelgevansker før de blir gitt mat eller drikke, for å unngå komplikasjoner som f.eks. lungebetennelse.";"Ifølge de nasjonale retningslinjene for behandling av hjerneslag, bør alle  pasienter med akutt hjerneslag observeres og testes systematisk for eventuelle svelgevansker før de blir gitt mat eller drikke. Begrunnelse for måltallene: Noen pasienter har svært nedsatt bevissthet og er dermed ikke mulige å teste. Høy måloppnåelse er derfor satt til 95 %."
"hjerneslag_tromb_40min";"hjerneslag_dg";"Andel trombolyse innen 40 minutt etter innleggelse";"andel";10;0,5;0,3;1;"Trombolyse bør gis tidlig etter symptomdebut, og minst halvparten av de aktuelle pasientene bør starte behandling innen 40 minutter etter ankomst sykehus.";"Det er godt dokumentert at intravenøs trombolyse har størst effekt hvis det gis tidlig etter symptomdebut. De nasjonale retningslinjene anbefaler at pasienter som er aktuelle for trombolyse bør utredes så raskt som mulig, for å sikre tidligst mulig behandling. Det viktigste bidraget fra sykehus i denne forbindelse er å sikre rask utredning straks pasienten ankommer akuttmottaket. Denne indikatoren måler akutt logistikk i sykehuset ved trombolyse og er også nå blitt en nasjonal kvalitetsindikator. Begrunnelse for måltallene: Høy måloppnåelse er satt til 50 %, og samsvarer i stor grad med grenser som er valgt i Sverige. Et måltall på 30 % er valgt som moderat måloppnåelse. Diagnostisk avklaring vil hos en del pasienter kreve svar på blodprøver, ytterligere bildediagnostikk, innhenting av komparente opplysninger, eller observasjon av klinisk tilstand over litt tid, før indikasjoner eller kontraindikasjoner for trombolyse kan vurderes. Disse forhold er tatt med i vurderingene ved fastsettelse av grenseverdiene."
"hjerneslag_ut_antikoag";"hjerneslag_dg";"Andel utskrevet med antikoagulasjon";"andel";10;0,7;0,55;1;"De fleste pasienter med hjerneinfarkt som også har hjerteforkammerflimmer har nytte av antikoagulerende medikamenter (blodfortynnende behandling) for å forebygge nye hjerneslag.";"Antikoagulasjonsbehandling (blodfortynnende behandling) reduserer risikoen for nye hjerneinfarkt hos pasienter med atrieflimmer. Antikoagulasjonsbehandling ved atrieflimmer hos pasienter med hjerneinfarkt er en anbefaling i nasjonale retningslinjer for behandling av hjerneslag. Begrunnelse for måltallene: Antikoagulasjonsbehandling vil for enkelte pasienter bli utsatt til etter utskriving når blødningsrisikoen i infarktet er mindre. For noen pasienter med andre ledsagende lidelser vil antitrombotisk medikasjon ikke bli foreskrevet. I tillegg har endel pasienter kontraindikasjoner til antikoagulasjon. I årsrapporten er antikoagulasjonsbehandling forordnet innen tre måneder inkludert i indikatoren. Dette er ikke mulig å publisere i sanntidsrapportering."
"hjerneslag_ut_antitromb";"hjerneslag_dg";"Andel utskrevet med antitrombotisk behandling";"andel";10;0,95;0,85;1;"De fleste pasienter med hjerneinfarkt bør få behandling med blodpropphemmende medikamenter for å forebygge nye hjerneslag.";"De fleste pasienter med hjerneinfarkt bør få behandling med antitrombotisk medikasjon (blodfortynnende behandling) for å forebygge for nye hjerneslag.  Begrunnelse for måltallene: Antikoagulasjonsbehandling vil for enkelte pasienter bli utsatt til etter utskriving når blødningsrisikoen i infarktet er mindre. For noen pasienter med andre ledsagende lidelser vil antitrombotisk medikasjon ikke bli foreskrevet."
"hjerneslag_ut_blodtrykksenk";"hjerneslag_dg";"Andel utskrevet med blodtrykkssenkende medikamenter";"andel";10;0,7;0,6;1;"Pasienter med hjerneslag som har høyt blodtrykk bør behandles med blodtrykkssenkende medikamenter for å forebygge nye hjerneslag.";"Pasienter med hjerneslag med høyt blodtrykk bør behandles med blodtrykksenkende medikamenter ved utskriving. Blodtrykksbehandling reduserer risikoen for flere hjerneslag hos pasienter med høyt blodtrykk. Begrunnelse for måltallene: 70 % av pasientene bør behandles med blodtrykksenkende medikamenter ved utskriving. Hos en del pasienter er det naturlig å vente med blodtrykksenking til etter akuttfasen, og en del pasienter har ikke behandlingstrengende hypertensjon. Vi har korrigert for de utslag forsinket oppstart gir ved å inkludere blodtrykkssenkende medikamenter ved 3 måneder. Resultatene presenteres dermed noe forsinket på denne indikatoren."
