"id";"dg_id";"title";"type";"min_denominator";"level_green";"level_yellow";"level_direction";"short_description";"long_description"
"hjertesvikt_6min_gangtest";"hjertesvikt_dg";"Utført 6-minutter gangtest";"andel";5;0,8;0,7;1;"6-minutter gangtest er en viktig undersøkelse for å vurdere fysisk yteevne hos pasienter med hjertesvikt og er et godt mål på effekten av den totale behandlingen.";"Andel utført 6-minutter gangtest totalt for alle Første besøk og Siste justeringsbesøk (%). 6-minutter gangtest er en viktig undersøkelse for å vurdere fysisk yteevne hos pasienter med hjertesvikt. Studier har vist at 6-minutter gangtest er et godt mål på effekten av den totale behandlingen både når det gjelder medikamentell behandling, fysisk trening, prognose og reinnleggelse. 6-minutter gangtest gir også gode opplysninger om pasientens toleranse ovenfor hjertestyrkende medisin (betablokker) ved samtidig registrering av hjertefrekvensen."
"hjertesvikt_besvr_blod";"hjertesvikt_dg";"Andel besvarte blodprøver";"andel";5;0,98;0,97;1;"Blodprøver er sentrale i vurderingen av pasientens helsetilstand og for medikamentjusteringer.";"Andel besvarte blodprøver totalt for alle besøk (%). Blodprøver er sentrale i vurderingen av pasientens status, og for medikamentjusteringer.  Hensikten er å sikre god oppfølging av pasienten ved Hjertesviktpoliklinikken. Høy måloppnåelse for andel blodprøvesvar indikerer god kontroll ved Hjertesviktpoliklinikken."
"hjertesvikt_besvr_skjema";"hjertesvikt_dg";"Besvarte livskvalitetsskjema";"andel";5;0,9;0,75;1;"Livskvalitet er viktig å vurdere hos pasienter med hjertesvikt, som sammen med fysisk yteevne legger grunnlaget for medikamentjusteringer.";"Andel besvarte livskvalitetsskjemaer totalt for alle besøk (%). Minnesota er et standardisert livskvalitetsskjema for pasienter med hjertesvikt. Livskvalitetsskår er viktig for å vurdere livskvalitet hos pasienter med hjertesvikt, som sammen med fysisk funksjonsnivå legger grunnlaget for medikamentjusteringer. Høy andel besvarte skjemaer viser om personalet ved Hjertesviktpoliklinikken har forstått viktigheten av å kartlegge pasientens livskvalitet som mål på effekt av behandlingen gitt på Hjertesviktpoliklinikken. Indikatoren ser på andelen besvarte skjemaer både på Første besøk og Oppfølgingsbesøket uavhengig om det er koblede skjemaer (2 skjemaer på samme pasient) eller ikke."
"hjertesvikt_dg";"";"Dekningsgrad";"andel";5;0,8;0,6;1;"Viser om dataene i registeret er representative for pasientene som følges ved en Hjertesviktpoliklinikk.";"Andel registrert i NHSR av antall møtte på Hjertesviktpoliklinikken (%). Viser om dataene i registeret er representative for pasientene som følges ved en Hjertesviktpoliklinikk, og om personalet selekterer pasienter for registrering."
"hjertesvikt_endr_6min_gangtest";"hjertesvikt_dg";"Oppnådd høy endring på 6-minutter gangtest";"andel";5;0,15;0,05;1;"6-minutter gangtest er viktig for å vurdere fysisk yteevne hos pasienter med hjertesvikt, og er et godt mål på effekten av den totale behandlingen med medikamenter og trening.";"Andel oppnådd endring på >15 % fra Første besøk til Siste justeringsbesøk (%). Her er alle Siste justeringsbesøk i gjeldende år analysert med tilhørende Første besøk, uavhengig om Første besøk var i samme år eller tidligere. 6-minutter gangtest er viktig for å vurdere fysisk yteevne hos pasienter med hjertesvikt, og er et godt mål på effekten av den totale behandlingen."
"hjertesvikt_hjerteavl_med";"hjertesvikt_dg";"Behandles med hjerteavlastende medisin";"andel";5;0,9;0,8;1;"På Siste justeringsbesøk bør pasienter med redusert tømmingsgrad (EF<40 %) ha startet med en hjerteavlastende medisin (ACEi) da disse medisinene har vist økt overlevelse.";"Andel pasienter med redusert tømmingsgrad (*EF<40 %) som behandles med hjerteavlastende medisin på siste justeringsbesøk (%). Hjerteavlastende medisiner (ACE-hemmer, ARB eller ARB-kombinasjon) er medisiner som har vist økt overlevelse hos pasienter med redusert tømmingsgrad (EF<30-45 % i forskjellige studier). EF (ejeksjonsfraksjon) er et mål på tømmingsgraden og er normalt >50 % hos friske."
"hjertesvikt_hjertebesk_styrk_avl_med";"hjertesvikt_dg";"Behandles med hjertebeskyttende-, avlastende og styrkende medisin";"andel";5;0,5;0,3;1;"På Siste justeringsbesøk bør pasienter med redusert tømmingsgrad (EF ≤35 %) og NYHA-klasse ≥II, behandlet med hjerteavlastende (ACEi) - og styrkende (βblokker) medisin, behandles med hjertebeskyttende (MRA) medisin da dette har vist økt overlevelse.";"Andel pasienter med redusert tømmingsgrad (EF* ≤35 % og NYHA** ≥ II) som behandles med en hjertebeskyttende medisin (MRA =aldosteronantagonist) og en hjerteavlastende medisin (ACE-hemmer, ARB eller ARB-kombinasjon) og maksimal tolererte dose med hjertestyrkende medisin (betablokker) på siste justeringsbesøk (%). MRA/Aldosteronantagonist er medisin som i studier har vist økt overlevelse når de legges til ACE-hemmere og maksimal tolererte dose med betablokkere hos pasienter med redusert tømmingsgrad (EF ≤35 %). EF (ejeksjonsfraksjon) er et mål på tømmingsgraden i venstre hjertekammer og er normalt >50 % hos friske. NYHA-klasse beskriver pasientens opptreden av symptomer ved forskjellige anstrengelser. NYHA er delt inn i 4 klasser, der klasse 4 angir dårligst funksjon."
"hjertesvikt_hjertestyrk_hjerteavl";"hjertesvikt_dg";"Behandles med hjertestyrkende- og avlastende medisin";"andel";5;0,8;0,75;1;"På Siste justeringsbesøk bør pasienter med redusert tømmingsgrad (EF<40 %) bli behandlet med både hjertestyrkende βblokker)- og avlastende (ACEi) medisin da disse medisinene har vist økt overlevelse og symptombedring.";"Andel pasienter med redusert tømmingsgrad (EF<40 %) som behandles med både hjertestyrkende medisin (betablokker) og hjerteavlastende medisin (ACE-hemmer, ARB eller ARB-kombinasjon) medikamenter på siste justeringsbesøk (%). Betablokkere har sammen med ACE-hemmer/ARB/ARB-kombinasjon vist økt overlevelse og symptombedring hos pasienter med redusert tømmingsgrad (EF<40 %). EF (ejeksjonsfraksjon) er et mål på tømmingsgraden og er normalt >50 % hos friske."
"hjertesvikt_hjertestyrk_med";"hjertesvikt_dg";"Behandles med hjertestyrkende medisin";"andel";5;0,9;0,8;1;"På Siste justeringsbesøk bør pasienter med redusert tømmingsgrad (EF<40 %) behandles med hjertestyrkende medisin da disse medisinene har vist økt overlevelse og symptombedring.";"Andel pasienter med redusert tømmingsgrad (EF <40 %) som behandles med hjertestyrkende medisin (betablokker) på Siste justeringsbesøk (%). Betablokkere har vist økt overlevelse og symptombedring hos pasienter med redusert tømmingsgrad (EF <40 %). EF (ejeksjonsfraksjon) er et mål på tømmingsgraden og er normalt >50 % hos friske."
"hjertesvikt_hoy_endr_livskv";"hjertesvikt_dg";"Oppnådd høy endring i livskvalitet";"andel";5;0,5;0,3;1;"Økt livskvalitet er et av behandlingsmålene ved hjertesvikt. En bedring på ≥0,5 i gjennomsnittlig livskvalitetsskår ansees som klinisk betydningsfullt.";"Andel pasienter som har en bedring på ≥0,5 i gjennomsnittlig livskvalitetsskår fra Første besøk til Oppfølgingsbesøket (%). Her er alle Oppfølgingsbesøk i gjeldende år analysert med tilhørende Første besøk, uavhengig om Første besøk var i samme år eller tidligere. Minnesotaskjemaet består av 21 spørsmål hvor hvert har poeng fra 0 – 5, der 5 er den høyeste og dårligste verdien. Indikatoren er regnet ut ved å ta gjennomsnittet av poengene på Første besøk minus gjennomsnittet av poengene på Oppfølgingsbesøket. Et positivt tall for endringen betyr at livskvaliteten er blitt bedre over tid. Økt livskvalitet er et av behandlingsmålene ved hjertesvikt. En bedring på ≥0,5 i gjennomsnittlig livskvalitetsskår ansees som klinisk betydningsfullt."
