"id";"dg_id";"title";"type";"min_denominator";"level_green";"level_yellow";"level_direction";"short_description";"long_description"
"hoftebrudd_1aar";"hoftebrudd_dg_prim_brudd";"Ikke-reopererte proteser innen et år";"andel";10;0,9;0,8;1;"En reoperasjon er en betydelig belastning for en hoftebruddpasient og andelen reoperasjon er derfor et viktig mål for kvaliteten av behandlingen";"Andelen reoperasjoner er et mål på kvaliteten av behandlingen. En reoperasjon kan være en betydelig belastning for hoftebruddpasientene og medfører både øket mortalitet og morbiditet. Pasientene har i perioden før en reoperasjon oftest smerter og økte problemer i det daglige. Et viktig mål for behandling av hoftebrudd er derfor å unngå reoperasjoner. De fleste reoperasjoner for hoftebrudd skjer i løpet av det første året etter primæroperasjonen. Andelen reoperasjoner innen 1 år postoperativt må imidlertid sees i sammenheng med rapporteringsgraden av reoperasjoner. Dersom rapportering av reoperasjoner er dårlig ved et sykehus vil dette medføre en falsk lav andel reopererte pasienter. Andelen reoperasjoner kan også ses i sammenheng med behandlingsmetode (kvalitetsindikatorer  for protese ved dislokerte lårhalsbrudd og sementert stamme ved bruk av protese). De fleste sykehus har mindre enn 10 % reoperasjoner første året etter primæroperasjon og oppnår dermed god måloppnåelse."
"hoftebrudd_24t";"hoftebrudd_dg_prim_brudd";"Operasjon innen 24 timer (tilstrebes)";"andel";10;0,8;0,6;1;"Det er gode holdepunkter for at hoftebrudd bør opereres innen 24 timer etter bruddtidspunktet";"Denne kvalitetsindikatoren er definert som andel pasienter med akutt hoftebrudd som ble operert innen 24 timer etter bruddtidspunktet. Det er gode holdepunkter for å anbefale at alle hoftebrudd bør tilstrebes operert innen 24 timer og senest innen 48 timer. Vi har definert >90 % som svært god måloppnåelse og >80 % som god måloppnåelse for operasjon innen 48 timer. For operasjon innen 24 timer er >80 % definert som svært god måloppnåelse og >60 % som god måloppnåelse. Foreløpig vil tid fra brudd til operasjon bli brukt som ventetid. Det jobbes med å innhente innleggelsestidspunkt i sykehus. Ventetid fra innleggelse til operasjon kan kanskje være en mer riktig prosessindikator. På landsbasis er det meget god måloppnåelse, men det er store variasjoner mellom de enkelte sykehusene. Det er en tendens til at de store universitetssykehusene har større problemer med å få operert pasientene innen de anbefalte 48 timer."
"hoftebrudd_30d_doed";"hoftebrudd_dg_prim_brudd";"30 dagers overlevelse";"andel";10;0,9;0,8;1;"30 dagers overlevelse er en hyppig brukt resultatindikator for behandling av hoftebrudd";"30 dagers overlevelse er en hyppig brukt resultatindikator for behandling av hoftebrudd. Det er imidlertid mange ulike faktorer som kan påvirke overlevelsen og som det er umulig å korrigere godt for. 30 dagers overlevelse er selvsagt også avhengig av hendelser etter at pasienten er utskrevet fra sykehuset. Tilfeldigheter eller små forskjeller vil kunne se store ut når sykehusvise resultater sammenlignes.30 dagers overlevelse er ved de fleste sykehus >90 %."
"hoftebrudd_48t";"hoftebrudd_dg_prim_brudd";"Operasjon innen 48 timer";"andel";10;0,9;0,8;1;"Alle hoftebrudd bør senest opereres innen 48 timer etter bruddtidspunktet for å redusere dødelighet og fare for medisinske komplikasjoner";"Denne kvalitetsindikatoren er definert som andel pasienter med akutt hoftebrudd som ble operert innen 48 timer etter bruddtidspunktet. Det er gode holdepunkter for å anbefale at alle hoftebrudd bør tilstrebes operert innen 24 timer og senest innen 48 timer. Vi har definert >90 % som svært god måloppnåelse og >80 % som god måloppnåelse for operasjon innen 48 timer. For operasjon innen 24 timer er >80 % definert som svært god måloppnåelse og >60 % som god måloppnåelse. Foreløpig vil tid fra brudd til operasjon bli brukt som ventetid. Det jobbes med å innhente innleggelsestidspunkt i sykehus. Ventetid fra innleggelse til operasjon kan kanskje være en mer riktig prosessindikator. På landsbasis er det meget god måloppnåelse, men det er store variasjoner mellom de enkelte sykehusene. Det er en tendens til at de store universitetssykehusene har større problemer med å få operert pasientene innen de anbefalte 48 timer."
"hoftebrudd_dg_prim_brudd";"";"Dekningsgrad av primære hoftebrudd";"andel";10;0,9;0,8;1;"Dekningsgrad gir et mål på hvor stor andel av primære hoftebruddsoperasjoner som blir meldt til registeret sammenlignet med Norsk pasientregister";"Dekningsgrad for Norsk Hoftebruddregister (NHBR) er definert som andelen av de pasienter som sykehuset rapporterte til Norsk pasientregister (NPR) som sykehuset også meldte til NHBR. Vi har definert >90 % som svært god måloppnåelse, >80 % som god måloppnåelse. En del usikkerhet er knyttet til beregning av dekningsgrad. Det er viktig at sykehusene rapporterer riktige diagnosekoder og prosedyrekoder til NPR for at riktige operasjoner skal bli koblet til NHBR. For primæroperasjoner er dette mindre problematisk, men for reoperasjoner er det en større usikkerhet da flere ulike prosedyrekoder kan benyttes. Det finnes ingen klare retningslinjer for hvilke prosedyrekoder som kirurgene skal benytte ved for eksempel bløtdelsrevisjoner etter infeksjon. NPR mangler spesifisering av legemsside og dette medfører en usikkerhet i analysene. Totalproteser i hofte implanteres også av andre årsaker enn hoftebrudd. Pasienter kan ha totalproteser i begge hofter og en kan ut fra data i NPR ikke avgjøre hvilken protese som er reoperert. Dersom totalprotesen som er reoperert ikke er implantert som følge av hoftebrudd skal reoperasjonen heller ikke være registrert i NHBR. Det totale antallet reopererte totalproteser i NPR er altså høyere enn antallet reopererte totalproteser implantert etter hoftebrudd. Dette vil gi en feilaktig lavere dekningsgrad for totalproteser i NHBR. Dekningsgradsanalyser var sist utført for operasjoner utført i perioden 2017-2018."
"hoftebrudd_dg_prim_hemi";"";"Dekningsgrad primær hemiprotese";"andel";10;0,9;0,8;1;"Dekningsgrad gir et mål på hvor stor andel av primære hemiproteser som blir meldt til registeret sammenlignet med Norsk pasientregister";"Dekningsgrad for Norsk Hoftebruddregister (NHBR) er definert som andelen av de pasienter som sykehuset rapporterte til Norsk pasientregister (NPR) som sykehuset også meldte til NHBR. Vi har definert >90 % som svært god måloppnåelse, >80 % som god måloppnåelse. En del usikkerhet er knyttet til beregning av dekningsgrad. Det er viktig at sykehusene rapporterer riktige diagnosekoder og prosedyrekoder til NPR for at riktige operasjoner skal bli koblet til NHBR. For primæroperasjoner er dette mindre problematisk, men for reoperasjoner er det en større usikkerhet da flere ulike prosedyrekoder kan benyttes. Det finnes ingen klare retningslinjer for hvilke prosedyrekoder som kirurgene skal benytte ved for eksempel bløtdelsrevisjoner etter infeksjon. NPR mangler spesifisering av legemsside og dette medfører en usikkerhet i analysene. Totalproteser i hofte implanteres også av andre årsaker enn hoftebrudd. Pasienter kan ha totalproteser i begge hofter og en kan ut fra data i NPR ikke avgjøre hvilken protese som er reoperert. Dersom totalprotesen som er reoperert ikke er implantert som følge av hoftebrudd skal reoperasjonen heller ikke være registrert i NHBR. Det totale antallet reopererte totalproteser i NPR er altså høyere enn antallet reopererte totalproteser implantert etter hoftebrudd. Dette vil gi en feilaktig lavere dekningsgrad for totalproteser i NHBR. Dekningsgradsanalyser var sist utført for operasjoner utført i perioden 2017-2018."
"hoftebrudd_dg_prim_ost";"";"Dekningsgrad primær osteosyntese";"andel";10;0,9;0,8;1;"Dekningsgrad gir et mål på hvor stor andel av primære osteosynteser som blir meldt til registeret sammenlignet med Norsk pasientregister";"Dekningsgrad for Norsk Hoftebruddregister (NHBR) er definert som andelen av de pasienter som sykehuset rapporterte til Norsk pasientregister (NPR) som sykehuset også meldte til NHBR. Vi har definert >90 % som svært god måloppnåelse, >80 % som god måloppnåelse. En del usikkerhet er knyttet til beregning av dekningsgrad. Det er viktig at sykehusene rapporterer riktige diagnosekoder og prosedyrekoder til NPR for at riktige operasjoner skal bli koblet til NHBR. For primæroperasjoner er dette mindre problematisk, men for reoperasjoner er det en større usikkerhet da flere ulike prosedyrekoder kan benyttes. Det finnes ingen klare retningslinjer for hvilke prosedyrekoder som kirurgene skal benytte ved for eksempel bløtdelsrevisjoner etter infeksjon. NPR mangler spesifisering av legemsside og dette medfører en usikkerhet i analysene. Totalproteser i hofte implanteres også av andre årsaker enn hoftebrudd. Pasienter kan ha totalproteser i begge hofter og en kan ut fra data i NPR ikke avgjøre hvilken protese som er reoperert. Dersom totalprotesen som er reoperert ikke er implantert som følge av hoftebrudd skal reoperasjonen heller ikke være registrert i NHBR. Det totale antallet reopererte totalproteser i NPR er altså høyere enn antallet reopererte totalproteser implantert etter hoftebrudd. Dette vil gi en feilaktig lavere dekningsgrad for totalproteser i NHBR. Dekningsgradsanalyser var sist utført for operasjoner utført i perioden 2017-2018."
"hoftebrudd_dg_prim_total";"";"Dekningsgrad primær totalprotese";"andel";10;0,9;0,8;1;"Dekningsgrad gir et mål på hvor stor andel av primære totalproteser som blir meldt til registeret sammenlignet med Norsk pasientregister";"Dekningsgrad for Norsk Hoftebruddregister (NHBR) er definert som andelen av de pasienter som sykehuset rapporterte til Norsk pasientregister (NPR) som sykehuset også meldte til NHBR. Vi har definert >90 % som svært god måloppnåelse, >80 % som god måloppnåelse. En del usikkerhet er knyttet til beregning av dekningsgrad. Det er viktig at sykehusene rapporterer riktige diagnosekoder og prosedyrekoder til NPR for at riktige operasjoner skal bli koblet til NHBR. For primæroperasjoner er dette mindre problematisk, men for reoperasjoner er det en større usikkerhet da flere ulike prosedyrekoder kan benyttes. Det finnes ingen klare retningslinjer for hvilke prosedyrekoder som kirurgene skal benytte ved for eksempel bløtdelsrevisjoner etter infeksjon. NPR mangler spesifisering av legemsside og dette medfører en usikkerhet i analysene. Totalproteser i hofte implanteres også av andre årsaker enn hoftebrudd. Pasienter kan ha totalproteser i begge hofter og en kan ut fra data i NPR ikke avgjøre hvilken protese som er reoperert. Dersom totalprotesen som er reoperert ikke er implantert som følge av hoftebrudd skal reoperasjonen heller ikke være registrert i NHBR. Det totale antallet reopererte totalproteser i NPR er altså høyere enn antallet reopererte totalproteser implantert etter hoftebrudd. Dette vil gi en feilaktig lavere dekningsgrad for totalproteser i NHBR. Dekningsgradsanalyser var sist utført for operasjoner utført i perioden 2017-2018."
"hoftebrudd_dg_reop";"";"Dekningsgrad alle reoperasjoner";"andel";10;0,9;0,8;1;"Dekningsgrad gir et mål på hvor stor andel av reoperasjoner etter hoftebrudd som blir meldt til registeret sammenlignet med Norsk pasientregister";"Dekningsgrad for Norsk Hoftebruddregister (NHBR) er definert som andelen av de pasienter som sykehuset rapporterte til Norsk pasientregister (NPR) som sykehuset også meldte til NHBR. Vi har definert ?90 % som svært god måloppnåelse, ?80 % som god måloppnåelse. En del usikkerhet er knyttet til beregning av dekningsgrad. Det er viktig at sykehusene rapporterer riktige diagnosekoder og prosedyrekoder til NPR for at riktige operasjoner skal bli koblet til NHBR. For primæroperasjoner er dette mindre problematisk, men for reoperasjoner er det en større usikkerhet da flere ulike prosedyrekoder kan benyttes. Det finnes ingen klare retningslinjer for hvilke prosedyrekoder som kirurgene skal benytte ved for eksempel bløtdelsrevisjoner etter infeksjon. NPR mangler spesifisering av legemsside og dette medfører en usikkerhet i analysene. Totalproteser i hofte implanteres også av andre årsaker enn hoftebrudd. Pasienter kan ha totalproteser i begge hofter og en kan ut fra data i NPR ikke avgjøre hvilken protese som er reoperert. Dersom totalprotesen som er reoperert ikke er implantert som følge av hoftebrudd skal reoperasjonen heller ikke være registrert i NHBR. Det totale antallet reopererte totalproteser i NPR er altså høyere enn antallet reopererte totalproteser implantert etter hoftebrudd. Dette vil gi en feilaktig lavere dekningsgrad for totalproteser i NHBR. Dekningsgradsanalyser var sist utført for operasjoner utført i perioden 2015-2016."
"hoftebrudd_protese";"hoftebrudd_dg_prim_brudd";"Protese ved dislokerte lårhalsbrudd";"andel";10;0,9;0,8;1;"Lårhalsbrudd hos pasienter over 70 år som er dislokerte (ute av stilling) bør opereres med en protese for å redusere risiko for reoperasjon og for å bedre funksjon";"Det er gode holdepunkter for å kunne si at dislokerte lårhalsbrudd hos pasienter over 70 år bør opereres med protese. Protesevalg (hemiprotese eller totalprotese) bør avgjøres utfra pasientens biologiske alder og funksjonelle krav. Indikatoren viser andel av pasienter med dislokerte lårhalsbrudd over 70 år som er operert med protese. I 2017 oppnådde alle sykehus i Norge god måloppnåelse og nesten alle sykehus meget god måloppnåelse på denne indikatoren."
