"id";"dg_id";"title";"type";"min_denominator";"level_green";"level_yellow";"level_direction";"short_description";"long_description"
"leddprotese_anti_hofte";"leddprotese_dg_pri_hofte";"Antibiotikabruk etter retningslinjer hofte";"andel";10;0,95;0,9;1;"Pasientene skal få forebyggende antibiotika operasjonsdagen, og dette skal gis i henhold til nasjonale retningslinjer.";"0,5-2 % av pasientene får dyp infeksjon etter hofteproteseoperasjoner. Antibiotika gitt rett før og etter proteseoperasjoner er vist å redusere sjansen for å få infeksjon etter inngrepet med inntil 75 %. Derfor er det bred enighet om at alle som får leddproteser skal ha antibiotika. Det har vært litt forskjellige rutiner ved sykehusene, men for noen år siden kom det nasjonale retningslinjer for antibiotika i sykehus. Vi har målt i hvor stor andel av pasientene disse retningslinjene er fulgt på de forskjellige behandlingsstedene. Ved stikkprøver av innsendte skjemaer kan det se ut til at det oftest er slurvete utfylling av registreringsskjemaet som gjør at noen sykehus scorer dårlig. Sjeldnere får pasienten ikke antibiotika eller feil antibiotika."
"leddprotese_dg_hofte";"";"Dekningsgrad hofteoperasjoner";"andel";10;0,95;0,9;1;"Dekningsgrad gir et mål på hvor stor andel av hofteproteseoperasjoner som blir meldt til registeret sammenlignet med Norsk pasientregister.";""
"leddprotese_dg_kne";"";"Dekningsgrad kneoperasjoner";"andel";10;0,95;0,9;1;"Dekningsgrad gir et mål på hvor stor andel av kneproteseoperasjoner som blir meldt til registeret sammenlignet med Norsk pasientregister.";""
"leddprotese_dg_pri_hofte";"";"Dekningsgrad primæroperasjon hofte";"andel";10;0,95;0,9;1;"Dekningsgrad gir et mål på hvor stor andel av primære hofteproteseoperasjoner som blir meldt til registeret sammenlignet med Norsk pasientregister.";"Alle sykehus og alle kirurger leverer data til Nasjonalt Register for Leddproteser (NRL). I dag skjer dette ved at kirurgen sender inn et skjema for hver operasjon, men en elektronisk registrering er under utvikling. Alle operasjoner skal registreres, både primæroperasjoner og reoperasjoner. Dette er viktig for å få et korrekt bilde av holdbarheten til protesene. Dersom et sykehus registrerer alle primæroperasjonene og bare halvparten av reoperasjonene får de falskt gode resultater i våre analyser. Operasjoner blir også registrert i Norsk Pasientregister (NPR), og ved å sammenholde tall fra Nasjonalt register for leddproteser med NPR sine kan vi måle hvor stor andel av operasjonene som faktisk registreres. Denne andelen kalles dekningsgrad. Opplysninger i NRL hadde høy grad av samsvar med opplysninger i NPR. Det er imidlertid store variasjoner i dekningsgrad for de ulike sykehusene. Generelt ser vi at kirurgene er flinkere til å registrere sine primæroperasjoner enn reoperasjoner. Sammenliknet med andre registre er dekningsgraden svært høy. Dekningsgraden for NRL varierer mye for de ulike sykehusene. For sykehus med lav dekningsgrad i hofteproteseregisteret betyr det enten at skjema ikke er sendt til registeret, eller at andre inngrep enn hofteproteseoperasjoner er kodet feilaktig med kodene NFB20/30/40."
"leddprotese_dg_pri_kne";"";"Dekningsgrad primæroperasjon kne";"andel";10;0,95;0,9;1;"Dekningsgrad gir et mål på hvor stor andel av primære kneproteseoperasjoner som blir meldt til registeret sammenlignet med Norsk pasientregister.";"Dekningsgradsanalyser for Kneproteseregisteret er gjennomført ved sammenstilling med data fra Norsk pasientregister (NPR) på individnivå. Rapport og analyser er utarbeidet ved NPR i samarbeid med Kneproteseregisteret (NRL). Det er beregnet dekningsgrad (dg_) for primæroperasjoner og revisjoner hver for seg. Enkelte sykehus har et lite volum av kneproteseoperasjoner og dg_ prosenten må sees i lys av det. Det vises til registerets egen årsrapport for en detaljert beskrivelse av utregningsmetoden http://nrlweb.ihelse.net/default.htm"
"leddprotese_dg_rev_hofte";"";"Dekningsgrad revisjon hofte";"andel";10;0,95;0,9;1;"Dekningsgrad gir et mål på hvor stor andel av reoperasjoner av hofteproteser som blir meldt til registeret sammenlignet med Norsk pasientregister.";"Alle sykehus og alle kirurger leverer data til Nasjonalt Register for Leddproteser (NRL). I dag skjer dette ved at kirurgen sender inn et skjema for hver operasjon, men en elektronisk registrering er under utvikling. Alle operasjoner skal registreres, både primæroperasjoner og reoperasjoner. Dette er viktig for å få et korrekt bilde av holdbarheten til protesene. Dersom et sykehus registrerer alle primæroperasjonene og bare halvparten av reoperasjonene får de falskt gode resultater i våre analyser. Operasjoner blir også registrert i Norsk Pasientregister (NPR), og ved å sammenholde tall fra Nasjonalt register for leddproteser med NPR sine kan vi måle hvor stor andel av operasjonene som faktisk registreres. Denne andelen kalles dekningsgrad. Opplysninger i NRL hadde høy grad av samsvar med opplysninger i NPR. Det er imidlertid store variasjoner i dekningsgrad for de ulike sykehusene. Generelt ser vi at kirurgene er flinkere til å registrere sine primæroperasjoner enn reoperasjoner. Sammenliknet med andre registre er dekningsgraden svært høy. Dekningsgraden for NRL varierer mye for de ulike sykehusene. For sykehus med lav dekningsgrad i hofteproteseregisteret betyr det enten at skjema ikke er sendt til registeret, eller at andre inngrep enn hofteproteseoperasjoner er kodet feilaktig med kodene NFC2/3/4/99."
"leddprotese_dg_rev_kne";"";"Dekningsgrad revisjon kne";"andel";10;0,95;0,9;1;"Dekningsgrad gir et mål på hvor stor andel av reoperasjoner av kneproteser som blir meldt til registeret sammenlignet med Norsk pasientregister.";"Dekningsgradsanalyser for Kneproteseregisteret er gjennomført ved sammenstilling med data fra Norsk pasientregister (NPR) på individnivå. Rapport og analyser er utarbeidet ved NPR i samarbeid med Kneproteseregisteret (NRL). Det er beregnet dekningsgrad (dg_) for primæroperasjoner og revisjoner hver for seg. Enkelte sykehus har et lite volum av kneproteseoperasjoner og dg_ prosenten må sees i lys av det. Det vises til registerets egen årsrapport for en detaljert beskrivelse av utregningsmetoden http://nrlweb.ihelse.net/default.htm"
"leddprotese_s_l_hofte";"leddprotese_dg_pri_hofte";"Slitesterke leddflater i hofte";"andel";10;0,98;0,95;1;"Det bør brukes slitesterke materialer i hofteskålen laget av kryssbundet polyetylen eller keramikk ved innsetting av en konvensjonell hofteprotese.";"En av de viktige årsakene til reoperasjoner av leddproteser er slitasje av leddflatene. Særlig har bruk av alminnelig polyetylen i hofteskålprotesen vært årsak til mange reoperasjoner som da typisk skjer 7 eller flere år etter proteseoperasjonen. Det er nå dokumentert gode resultater med slitesterke materialer som kryssbundet polyetylen (som slites 1/10 av alminnelig polyetylen) og keramikk. Vi anbefaler at slike leddflater benyttes til alle pasienter. Proteser med såkalt dualmobility artikulasjon er utelatt."
"leddprotese_sem_hofte";"leddprotese_dg_pri_hofte";"Sementert lårbensprotese";"andel";10;0,9;0,8;1;"Kvinner over 75 år bør i regelen ha en sementert lårbensprotese på grunn av økt risiko for brudd i lårbenet rundt en usementert protese.";"Protesen kan festes med bensement eller den kan kiles fast i benet uten bruk av sement. Knokkelen gror da etter noen uker fast i den mer eller mindre ruglete overflaten på protesen. Dersom lårbensprotesen (stammen) er sementert og hofteskålprotesen (koppen) usementert kalles dette hybrid fiksasjon, og når stammen er usementert og koppen sementert omvendt hybrid fiksasjon. Sementert protese har tradisjonelt vært det vanligste i Norge, men i løpet av de siste 15 årene er det blitt vanlig med usementerte proteser. Dette skjer i tråd med utviklingen ellers i verden. Imidlertid har vårt register, og proteseregistre fra andre land, vist at resultatene med sementerte proteser er bedre i enkelte pasientkategorier. Spesielt gjelder dette kvinner eldre enn 75 år. Kvinner over 75 år har ca 50% høyere risiko for reoperasjon dersom man bruker en usementert protese."
"leddprotese_surv10_hofte";"leddprotese_dg_pri_hofte";"10 års varighet av hofteprotese";"andel";10;0,95;0,9;1;"Andel ikke-reviderte totalproteser i hofte etter ti år, standardpasienter operert i de siste 11 årene.";"Andel ikke reviderte totalproteser i hofte etter ti år. Det er brukt forløpsanalyse. Endepunkt er alle kirurgiske revisjoner (reoperasjoner). En standardpasient er en pasient mellom 55 og 85 år, med ASA-klasse 1 eller 2 (frisk pasient) og med artrose operert i de siste 11 årene. Kun sykehus med mer enn 50 operasjoner i denne perioden og som har operert i 2018 er inkludert. Det er i tillegg et krav at sykehuset må ha minst 30 pasienter med oppfølgingstid lenger enn ti år. Kun sykehus med gjennomsnittlig dekningsgrad på 80 % eller høyere for revisjonsoperasjonene i perioden er inkludert. Mer informasjon om hvordan tolke de sykehusvise resultatene kan leses i vår årsrapport."
