"id";"dg_id";"title";"type";"min_denominator";"level_green";"level_yellow";"level_direction";"short_description";"long_description"
"norgast_avdoede_bukspytt_tolv";"norgast_dg_pankreas";"Reseksjoner av bukspyttkjertelhode/tolvfingertarm: Andel avdøde";"andel";10;0,05;0,08;0;"Andel pasienter som døde innen 90 dager etter planlagt operasjon.";""
"norgast_avdoede_lever";"norgast_dg_lever";"Reseksjoner av lever: Andel avdøde";"andel";10;0,03;0,05;0;"Andel pasienter som døde innen 90 dager etter planlagt operasjon.";""
"norgast_avdoede_magesekk";"norgast_dg_magesekk";"Reseksjoner av magesekk (ventrikkel): Andel avdøde";"andel";10;0,05;0,08;0;"Andel pasienter som døde innen 90 dager etter planlagt operasjon.";""
"norgast_avdoede_spiseroer";"norgast_dg_spiseroer";"Reseksjoner av spiserør (øsofagus): Andel avdøde";"andel";10;0,05;0,08;0;"Andel pasienter som døde innen 90 dager etter planlagt operasjon.";""
"norgast_dg_endetarm";"";"";"";10;NA;NA;NA;"";""
"norgast_dg_lever";"";"";"";10;NA;NA;NA;"";""
"norgast_dg_magesekk";"";"";"";10;NA;NA;NA;"";""
"norgast_dg_pankreas";"";"Dekningsgrad bukspyttkjertel";"";10;NA;NA;NA;"";""
"norgast_dg_spiseroer";"";"";"";10;NA;NA;NA;"";""
"norgast_dg_total";"";"Dekningsgrad total";"";10;NA;NA;NA;"";""
"norgast_dg_tykktarm";"";"";"";10;NA;NA;NA;"";""
"norgast_kikkhullsteknikk_endetarm";"norgast_dg_endetarm";"Reseksjoner av endetarm (rektum): Kikkhullsteknikk";"andel";10;0,7;0,6;1;"Bruk av kikkhullsteknikk (laparoskopi) ved planlagte inngrep.";"Inngrep utført med kikkhullsteknikk medfører trolig en mindre belastning for pasienten, og en oppnår ofte raskere rekonvalesens og mindre smerter. Ikke alle pasienter og typer operasjonen egner seg for kikkhulls-inngrep, men en minimumsandel kikkhullskirurgi anses å være en kvalitetsindikator for en avdeling. En stor andel av inngrep over hele landet utføres allerede i dag ved hjelp av kikkhullsteknikk, og andelen er stadig økende. For å gjøre sammenligning mellom avdelingene enklest mulig presenteres kun tall for pasienter med godt funksjonsnivå (ECOG <2) og som opereres for ondartet sykdom."
"norgast_kikkhullsteknikk_lever";"norgast_dg_lever";"Reseskjoner av lever: Kikkhullsteknikk";"andel";10;0,3;0,3;1;"Bruk av kikkhullsteknikk (laparoskopi) ved planlagte inngrep.";"Inngrep utført med kikkhullsteknikk medfører trolig en mindre belastning for pasienten, og en oppnår ofte raskere rekonvalesens og mindre smerter. Ikke alle pasienter og typer operasjonen egner seg for kikkhulls-inngrep, men en minimumsandel kikkhullskirurgi anses å være en kvalitetsindikator for en avdeling. En stor andel av inngrep over hele landet utføres allerede i dag ved hjelp av kikkhullsteknikk, og andelen er stadig økende. For å gjøre sammenligning mellom avdelingene enklest mulig presenteres kun tall for pasienter med godt funksjonsnivå (ECOG <2) og som opereres for ondartet sykdom."
"norgast_kikkhullsteknikk_tykktarm";"norgast_dg_tykktarm";"Reseksjoner av tykktarm (kolon): Kikkhullsteknikk";"andel";10;0,7;0,6;1;"Bruk av kikkhullsteknikk (laparoskopi) ved planlagte inngrep.";"Inngrep utført med kikkhullsteknikk medfører trolig en mindre belastning for pasienten, og en oppnår ofte raskere rekonvalesens og mindre smerter. Ikke alle pasienter og typer operasjonen egner seg for kikkhulls-inngrep, men en minimumsandel kikkhullskirurgi anses å være en kvalitetsindikator for en avdeling. En stor andel av inngrep over hele landet utføres allerede i dag ved hjelp av kikkhullsteknikk, og andelen er stadig økende. For å gjøre sammenligning mellom avdelingene enklest mulig presenteres kun tall for pasienter med godt funksjonsnivå (ECOG <2) og som opereres for ondartet sykdom."
"norgast_lekkasje_endetarm";"norgast_dg_endetarm";"Reseksjoner av endetarm (rektum): Lekkasje fra skjøt (anastomoselekkasje)";"andel";10;0,05;0,07;0;"Andel pasienter som gjennomgikk nytt inngrep for svikt i skjøt (anastomose) innen 30 dager etter primærinngrep. Kun planlagte inngrep er inkluderte.";"Lekkasje av innhold i tarm ut i bukhulen som følge av svikt i skjøt utløser en alvorlig infeksjonstilstand. Dette er en alvorlig hendelse for pasienten og kan ofte medføre betydelig økt sykelighet, behov for utlagt tarm (stomi), forlenget rekonvalesens og i enkelte tilfeller dødsfall. Andel pasienter hvor slik svikt med lekkasje oppstår er valgt ut som kvalitetsindikator. For å gjøre sammenligning mellom avdelingene enklest mulig presenteres kun tall for pasienter med godt funksjonsnivå (ECOG <2) og som opereres for ondartet sykdom."
"norgast_lekkasje_tykktarm";"norgast_dg_tykktarm";"Reseksjoner av tykktarm (kolon): Lekkasje fra skjøt (anastomoselekkasje)";"andel";10;0,04;0,06;0;"Andel pasienter som gjennomgikk nytt inngrep for svikt i skjøt (anastomose) innen 30 dager etter primærinngrep. Kun planlagte inngrep er inkluderte.";"Lekkasje av innhold i tarm ut i bukhulen som følge av svikt i skjøt utløser en alvorlig infeksjonstilstand. Dette er en alvorlig hendelse for pasienten og kan ofte medføre betydelig økt sykelighet, behov for utlagt tarm (stomi), forlenget rekonvalesens og i enkelte tilfeller dødsfall. Andel pasienter hvor slik svikt med lekkasje oppstår er valgt ut som kvalitetsindikator. For å gjøre sammenligning mellom avdelingene enklest mulig presenteres kun tall for pasienter med godt funksjonsnivå (ECOG <2) og som opereres for ondartet sykdom."
"norgast_saarruptur";"norgast_dg_total";"Sårruptur";"andel";10;0,03;0,04;0;"Andel pasienter som gjennomgikk nytt inngrep for ruptur (brist) av lukkingen av bukvegg innen 30 dager etter primærinngrep. Kun pasienter hvor primærinngrepet var planlagt er inkluderte.";"Resultater for sårruptur presenteres for alle åpne inngrep, alle organgrupper samlet. Inngrep som startes med kikkhullsteknikk hvor en går over til åpent inngrep underveis er også inkluderte. Sårruptur medfører ofte smerter, nytt inngrep i narkose og forlenget sykehusopphold og rekonvalesens for pasienten."
