"id";"dg_id";"title";"type";"min_denominator";"level_green";"level_yellow";"level_direction";"short_description";"long_description"
"norkar_aktual";"";"Aktualitet";"andel";5;0,9;0,69;1;"Antall dager fra utskrivelse til ferdigstilt skjema";"Antall dager fra utskrivelse til ferdigstilt skjema"
"norkar_anb_med_forsnev_ben";"norkar_dg_forsnev_ben";"Anbefalt medikamentbehandling etter forsnevring av pulsårer i beina";"andel";5;0,85;0,74;1;"Etter behandling for forsnevring av pulsårer i beina (underekstremiteter) bør det startes medikamentell behandling for å forebygge komplikasjoner som hjerneslag eller hjerteinfarkt.";"Etter behandling for forsnevring av pulsårer i beina bør det startes medikamentell behandling for å forebygge komplikasjoner som hjerneslag eller hjerteinfarkt. Nasjonale og internasjonale retningslinjer beskriver viktigheten av denne type behandling for karkirurgiske pasienter. Kvalitetsindikatoren er definert som andel pasienter mottar resept på kolesterolsenkende medikamenter og platehemmer, eller antikoagulasjon. En årsak til dårlig måloppnåelse er sannsynligvis at det blir registrert ukjent medikamentbruk ved utskrivelse. Dvs at det i NORKAR ikke blir registrer type medikamenter pasienten benytter ved utskrivelse."
"norkar_anb_med_forsnev_hals";"norkar_dg_forsnev_hals";"Anbefalt medikamentbehandling  etter forsnevring av halspulsåren";"andel";5;0,85;0,74;1;"Etter behandling for forsnevring av halspulsåren (carotisstenose) bør det startes medikamentell behandling for å forebygge komplikasjoner som hjerneslag eller hjerteinfarkt.";"Etter behandling for forsnevring av halspulsåren bør det startes medikamentell behandling for å forebygge komplikasjoner som hjerneslag eller hjerteinfarkt. Nasjonale og internasjonale retningslinjer beskriver viktigheten av denne type behandling for karkirurgiske pasienter. Kvalitetsindikatoren er definert som andel pasienter mottar resept på kolesterolsenkende medikamenter og platehemmer, eller antikoagulasjon. En årsak til dårlig måloppnåelse er sannsynligvis at det blir registrert ukjent medikamentbruk ved utskrivelse. Dvs at det i NORKAR ikke blir registrert type medikamenter pasienten benytter ved utskrivelse."
"norkar_anb_med_utpos_hoved";"norkar_dg_utpos_hoved";"Anbefalt medikamentbehandling etter utposning på hovedpulsåren";"andel";5;0,85;0,74;1;"Etter behandling for utposning på hovedpulsåren bør det startes medikamentell behandling for å forebygge komplikasjoner som hjerneslag eller hjerteinfarkt.";"Etter behandling for utposning på hovedpulsåren bør det startes medikamentell behandling for å forebygge komplikasjoner som hjerneslag eller hjerteinfarkt. Nasjonale og internasjonale retningslinjer beskriver viktigheten av denne type behandling for karkirurgiske pasienter. Kvalitetsindikatoren er definert som andel pasienter mottar resept på kolesterolsenkende medikamenter og platehemmer, eller antikoagulasjon. En årsak til dårlig måloppnåelse er at det blir registrert ukjent medikamentbruk ved utskrivelse. Dvs at det i NORKAR ikke blir registrert type medikamenter pasienten benytter ved utskrivelse."
"norkar_dg_forsnev_ben";"";"Dekningsgrad - forsnevring av pulsårer i beina";"andel";5;0,9;0,69;1;"Andel pasienter med forsnevring av pulsårer i beina (til underekstremitetene) som er registrert i NORKAR og som også er registrert i Basisregisteret(HKR)/ Norskpasientregister.";"Denne kvalitetsindikatoren er definert som andel pasienter med forsnevring av av pulsårer i beina (til underekstremitetene) som er registrert i NORKAR og som også er registrert i Basisregisteret(HKR)/ Norskpasientregister. Det blir benyttet et sett med kvalifiserende prosedyre og diagnosekoder i beregning av dekningsgrad. Det vil derfor kunne være avvik mellom antall registreringer i NORKAR og antall episoder i dekningsgradsanalysen. Se Årsrapport for mer inngående om prosedyrer."
"norkar_dg_forsnev_hals";"";"Dekningsgrad -forsnevring av halspulsåren";"andel";5;0,9;0,69;1;"Andel pasienter med forsnevring av halspulsåren (carotisstenose) som er registrert i NORKAR og som også er registrert i Basisregisteret (HKR)/ Norsk pasientregister.";"Denne kvalitetsindikatoren er definert som andel pasienter med forsnevring av halspulsåren (carotisstenose) som er registrert i NORKAR og som også er registrert i Basisregisteret(HKR)/ Norskpasientregister. Det blir benyttet et sett med kvalifiserende prosedyre og diagnosekoder i beregning av dekningsgrad. Det vil derfor kunne være avvik mellom antall registreringer i NORKAR og antall episoder i dekningsgradsanalysen. Se Årsrapport for mer inngående om prosedyrer."
"norkar_dg_utpos_hoved";"";"Dekningsgrad - utposning på hovedpulsåren";"andel";5;0,9;0,69;1;"Andel pasienter med utposning på hovedpulsåren som er registrert i NORKAR og som også er registrert i Basisregisteret(HKR)/ Norsk pasientregister.";"Denne kvalitetsindikatoren er definert som andel pasienter med utposning på hovedpulsåren som er registrert i NORKAR og som også er registrert i Basisregisteret(HKR)/ Norskpasientregister.  Det blir benyttet et sett med kvalifiserende prosedyre og diagnosekoder i beregning av dekningsgrad. Det vil derfor kunne være avvik mellom antall registreringer i NORKAR og antall episoder i dekningsgradsanalysen. Se Årsrapport for mer inngående om prosedyrer."
"norkar_doed_utpos_hoved";"norkar_dg_utpos_hoved";"Dødelighet etter utposning på hovedpulsåren";"andel";15;NA;NA;0;"Andel pasienter med utposning på hovedpulsåren (AAA) som dør innen 30 dager. Utposningen er intakt.";"Dødsfall etter behandling er en komplikasjon som er og skal være sjelden, men ved alle kirurgiske inngrep har man en viss fare for komplikasjoner. Denne indikatoren er definert som andel pasienter med utposning på hovedpulsåren (AAA) der utposningen er intakt og har fått gjennomført en operasjon som dør innen 30 dager.  Dødsfall er hentet fra Folkeregisteret. Tolk resultatene med varsomhet. Det er svært få hendelser som ligger til grunn for tallene, noe som medfører en høy grad av tilfeldig variasjon, slik at et behandlingssted som har høy dødelighet blant pasientene ikke nødvendigvis har dårlig behandlingskvalitet. Tall for hele landet tyder på at behandlingen av pasienter med utposning på hovedpulsåren i Norge er av høy kvalitet. Måloppnåelse er ikke definert."
"norkar_doed_utpos_hoved_evar";"norkar_dg_utpos_hoved";"Dødelighet etter utposning på hovedpulsåren - EVAR";"andel";15;0,01;0,02;0;"Andel pasienter med utposning på hovedpulsåren (AAA) som dør innen 30 dager. Utposningen er intakt og behandlingen er endovaskulær.";"Dødsfall etter behandling er en komplikasjon som er og skal være sjelden, men ved alle kirurgiske inngrep har man en viss fare for komplikasjoner. Denne kvalitetsindikatoren er definert som andel pasienter med utposning på hovedpulsåren (AAA) der utposningen er intakt og behandlingen er endovaskulær og som dør innen 30 dager.  Dødsfall er hentet fra Folkeregisteret. Tolk resultatene med varsomhet. Det er svært få hendelser som ligger til grunn for tallene, noe som medfører en høy grad av tilfeldig variasjon, slik at et behandlingssted som har høy dødelighet blant pasientene ikke nødvendigvis har dårlig behandlingskvalitet. Tall for hele landet tyder på at behandlingen av pasienter med utposning på hovedpulsåren i Norge er av høy kvalitet."
"norkar_doed_utpos_hoved_aapen";"norkar_dg_utpos_hoved";"Dødelighet etter utposning på hovedpulsåren - åpen";"andel";15;0,02;0,05;0;"Andel pasienter med utposning på hovedpulsåren (AAA) som dør innen 30 dager. Utposningen er intakt og behandlingen er utført som en åpen operasjon.";"Dødsfall etter behandling er en komplikasjon som er og skal være sjelden, men ved alle kirurgiske inngrep har man en viss fare for komplikasjoner. Denne kvalitetsindikatoren er definert som andel pasienter med utposning på hovedpulsåren (AAA) der utposningen er intakt og har fått gjennomført en åpen operasjon som dør innen 30 dager.  Lavt målnivå er ønskelig. Dødsfall er hentet fra Folkeregisteret. Tolk resultatene med varsomhet. Det er svært få hendelser som ligger til grunn for tallene, noe som medfører en høy grad av tilfeldig variasjon, slik at et behandlingssted som har høy dødelighet blant pasientene ikke nødvendigvis har dårlig behandlingskvalitet. Tall for hele landet tyder på at behandlingen av pasienter med utposning på hovedpulsåren i Norge er av høy kvalitet."
"norkar_forsnev_hals_14d";"norkar_dg_forsnev_hals";"Behandlet innen 14 dager for forsnevring av halspulsåren";"andel";5;0,8;0,59;1;"Andel pasienter med for forsnevring av halspulsåren (carotisstenose) som mottar behandling for denne tilstanden innen 14 dager.";"Denne kvalitetsindikatoren er definert som andel pasienter med for forsnevring av halspulsåren (carotisstenose) som mottar behandling for denne tilstanden innen 14 dager etter symptomer. De som har hatt symptomer på hjerneslag, bør undersøkes av lege så snart som mulig etter hendelsen. Målet om rask identifisering og behandling av pasienter med cerebrovaskulære hendelser stiller store krav til logistikken ved sykehusene. Flere faktorer utenfor karkirurgens innflytelse påvirker indikatoren, som for eksempel tid til kontakt med lege og tid til henvisning til spesialist, slik at indikatoren sier noe om helseforetaket klarer å behandle pasienter med symptomatiske stenoser innenfor anbefalt tid. En må også være klar over at det finnes situasjoner hvor retningslinjene anbefaler å vente mer enn 14 dager, for eksempel etter store slag eller ved betydelig utfall, slik at verdien skal ikke være 100 %."
