"id";"dg_id";"title";"type";"min_denominator";"level_green";"level_yellow";"level_direction";"short_description";"long_description"
"norscir_aktualitet";"norscir_dg";"Aktualitet av data i registeret";"andel";5;0,9;0,8;1;"Andel skjema hvor data er innregistrert i Norsk ryggmargsskaderegister innen 30 dager, etter utreise primærrehabilitering. Høy måloppnåelse er ønskelig.";"Aktualitet er en datakvalitetsdimensjon. For å undersøke og dokumentere datakvaliteten i registeret måles om data innrapporteres fra sykehusene innen rimelig tid."
"norscir_blaerefunk";"norscir_dg";"Andel pasienter som har fått kartlagt og vurdert blærefunksjon";"andel";5;0,9;0,8;1;"Kartlegging av blærefunksjon under rehabilitering i ryggmargsskadeavdeling er viktig for å kunne iverksette nødvendige tiltak. Dette for å unngå komplikasjoner. Høy måloppnåelse er ønskelig.";"Det er dokumentert at personer med en ryggmargsskade i mange tilfeller vil oppleve problemer med å tømme urinblæren (nevrogen blære). Dette medfører ofte til en psykisk og fysisk belastning samt forhindrer sosiale aktiviteter. Fokus på riktig håndtering av nevrogen blære har påvirket overlevelse i stor grad. Retningslinjer anbefaler kartlegging og vurdering av hver enkelt pasient sin blærefunksjon, for å forhindre nyreskade, unngå urinveisinfeksjoner og bedre livskvaliteten ved å redusere inkontinens."
"norscir_blaeretomming";"norscir_dg";"Blæretømmingsregime for pasienter med paraplegitilstand";"andel";5;0,75;0,5;1;"Andel personer med paraplegi, som ved utreise fra ryggmargsskadeavdeling har normalisert blæretømming eller benytter intermitterende kateterisering. Høy måloppnåelse er ønskelig.";"Intermitterende kateterisering er «gullstandarden», når det gjelder metode for blæretømming hos pasienter med ryggmargsskade. Denne metode forutsetter god håndfunksjon.  Denne indikatoren måler andel pasienter som har normalisert vannlating eller benytter intermitterende kateterisering ved utreise. Intermitterende kateterisering gir en forbedring i opplevd livskvalitet og økt selvstendighet for pasienter med nevrogen blære. Det kan ikke alltid forventes at alle skal greie å utføre denne prosedyren selv etter endt opplæring. Alder, sykdomsforløp og hindringer som for eksempel prostata problematikk må tas til hensyn."
"norscir_dg";"";"Dekningsgrad";"andel";5;0,8;0,6;1;"Dekningsgraden angir hvor komplett registeret er. Det vil si hvor stor andel av pasienter som har vært innlagt til rehabilitering etter en ny oppstått ryggmargsskade ved en av tre ryggmargsskadeavdelinger, som er inkludert i registeret.";"Dekningsgraden angir hvor komplett registeret er. Det vil si hvor stor andel av pasienter som har vært innlagt til rehabilitering etter en ny oppstått ryggmargsskade ved en av tre ryggmargsskadeavdelinger, som er inkludert i registeret."
"norscir_kartlagt_funk";"norscir_dg";"Andel pasienter med kartlagt funksjon (Aktivitet og deltakelse)";"andel";5;0,9;0,8;1;"Andel pasienter som har fått kartlagt og vurdert funksjon relatert til aktivitet og deltakelse, under rehabilitering i ryggmargsskadeavdeling. Høy måloppnåelse er ønskelig.";"Overlevelse etter ryggmargsskade med en akseptabel livskvalitet er en av hovedmålene med rehabilitering. Derfor er det behov for data som forteller noe om det å leve med en ryggmargsskade. En viktig del er kartlegging av hverdagsaktiviteter."
"norscir_nevro_klass";"norscir_dg";"Nevrologisk klassifikasjon ved innkomst og utreise";"andel";5;0,9;0,75;1;"Nevrologisk klassifikasjon gir viktig informasjon om skadenivå og omfang. Dette har stor betydning for fremtidig prognose om funksjon.  Høy måloppnåelse er ønskelig.";"Det er dokumentert at en nevrologisk klassifikasjon av en ryggmargsskade gir viktig informasjon om ryggmargsskadens nivå og omfang. Dette har stor betydning for fremtidig prognose om funksjon. En slik klassifikasjon er også et viktig verktøy for å kartlegge endringer i sensomotorisk funksjon, dette gjelder både forbedringer men også eventuelle forverringer. Klassifikasjonen av ryggmargsskaden utføres etter etablerte internasjonale retningslinjer «International Standards for Neurological Classification of Spinal Cord Injury (ISNCSCI)». Kvalitetsforbedringsprosjektet gjennomført av Norsk ryggmargsskaderegister i 2016-2017 har resultert i konsensus om en felles nasjonal prosedyre som beskriver opplæring, praktisk gjennomføring og dokumentasjon for overnevnte klassifikasjon. Denne indikator måler etterlevelse av den nasjonale prosedyre. Dette gjelder pasienter med en nyervervet ryggmargsskade og opphold som er > 28 dager. Grenser for måltall ble drøftet (2016) i det årlige samarbeidsmøte i fagmiljøet hvor alle ryggmargsskadeavdelingene deltar. 100 % måloppnåelse er ikke realistisk, for eksempel ved akutte overflyttinger og i situasjoner hvor pasienten ikke er i stand til å samarbeide. Meget god måloppnåelse for denne indikator er derfor satt til > 90 %."
"norscir_prom";"norscir_dg";"Andel pasienter med selvrapportert livskvalitet (PROM)";"andel";5;0,8;0,5;1;"Andel pasienter > 16 år som i siste uke av rehabiliteringsopphold ved ryggmargsskadeavdeling, har rapportert sin opplevelse av livskvalitet for de siste 4 ukene. Høy måloppnåelse er ønskelig.";"Denne indikator er en måling av pasientenes opplevelse av helse og livskvalitet etter behandling av ryggmargsskade. Den avspeiler pasientens opplevelse av å leve med ryggmargsskade. Denne indikatoren gjelder kun pasienter ≥16 år."
"norscir_selvrap_tilfredshet";"norscir_dg";"Andel pasienter med selvrapportert tilfredshet (Aktivitet og deltakelse)";"andel";5;0,8;0,5;1;"Andel pasienter > 16 år som i siste uke av rehabiliteringsopphold ved ryggmargsskadeavdeling har rapportert sin tilfredshet relatert til aktivitet og deltakelse. Høy måloppnåelse er ønskelig.";"Denne indikator er en måling av pasientens tilfredshet relatert til hverdagsaktiviteter."
"norscir_tarmfunk";"norscir_dg";"Andel pasienter som har fått kartlagt og vurdert tarmfunksjon.";"andel";5;0,9;0,8;1;"Kartlegging av tarmfunksjon under rehabilitering i ryggmargsskadeavdeling er viktig for å kunne iverksette nødvendige tiltak. Dette for å unngå komplikasjoner.  Høy måloppnåelse er ønskelig.";"Tarmfunksjon er ofte påvirket etter en ryggmargsskade. Obstipasjon og fekal inkontinens medfører ofte tid- og ressurskrevende behandlingstiltak og er en belastning for pasienter med en ryggmargsskade. Kartlegging av tarmfunksjon under rehabilitering i ryggmargsskadeavdeling er viktig for å kunne iverksette nødvendige tiltak. Dette for å unngå komplikasjoner."
"norscir_til_sykehjem";"norscir_dg";"Lavest mulig andel pasienter skrevet ut til sykehjem";"andel";5;0,1;0,2;0;"Andel pasienter i eller under yrkesaktiv alder (67 år) som er skrevet ut fra ryggmargsskadeavdeling til sykehjem. Lav måloppnåelse er ønskelig.";"Bolig anses som et grunnleggende velferdsgode og en viktig forutsetning for å kunne delta i arbeids- og samfunnsliv fullt ut. Målsettingen er at så mange som mulig skal få bo i sitt eget hjem og være så selvstendig som mulig. Særlig i gruppen pasienter som er i yrkesaktiv alder forventer færrest mulig antall pasienter utskrevet til sykehjem"
