"id";"dg_id";"title";"type";"min_denominator";"level_green";"level_yellow";"level_direction";"short_description";"long_description"
"nra_50pst_lekkasjeredusjon";"nra_dg_snm";"Testprosedyre sakral nervemodulering (SNM)";"andel";5;0,7;0,7;1;"Andel pasienter med ≥ 50% reduksjon av lekkasje i testperiode.";"Operasjon med sakral nervemodulering (SNM) innebærer tradisjonelt at pasientene går i en 3 ukers SNM-testperiode. Før og under test-perioden fyller pasientene ut dagbok der de registrer antall episoder med avføringslekkasje, hastverksepisoder for å nå toalettet, antall avføringer og hvor mange dager de opplever lekkasje. Dersom det er reduksjon på lekkasjeepisoder på >50% regner man testen som positiv og pasienten tilbys permanent implantasjon av stimulator. I enkelte tilfeller tilbys pasienten implantasjon på andre kriterier, som blant annet kraftig forbedring av hastverk. Indikatoren påvirkes av pasientutvalg og operasjonsteknikk. >70 % av alle testet bør ha positiv test."
"nra_dg_sfinkter";"";"";"";NA;NA;NA;NA;"";""
"nra_dg_snm";"";"";"";NA;NA;NA;NA;"";""
"nra_dg_total";"";"";"";NA;NA;NA;NA;"";""
"nra_stmarks_12_1aar_sfinkt";"nra_dg_sfinkter";"St. Mark’s Inkontinensskår ≤12 etter operasjon med sfinkterplastikk";"andel";5;0,5;0,5;1;"Andel pasienter med symptomskår ≤12 av 24 mulige poeng 1 år etter operasjon.";"St. Mark’s inkontinensskår er en modifikasjon av Wexner inkontinensskår, og er et av de mest brukte skåringverktøyene for å få et objektivt mål på grad av anal inkontinens. Wexner skår går fra 0-20, mens St. Mark’s fra 0-24, der 0 representerer komplett kontinens (ingen lekkasje), og 20/24 fullstendig inkontinens. En Wexner eller St. Mark’s skår på 9 eller mindre etter behandling, er ansett å være av klinisk signifikant betydning og assosiert med økt livskvalitet. Fagrådet i NRA har definert følgende kvalitetsmål for resultatindikator St. Mark’s og Wexner: 30% av pasientene skal ha en St. Mark’s eller Wexner skår på 9 eller mindre, 1 og 5 år etter operasjon. 50% av pasienten skal ha en St. Mark’s eller Wexner skår på 12 eller mindre, 1 og 5 år etter operasjon. Pasienter med preskår under henholdsvis 9 og 12 er ekskludert fra de respektive analysene."
"nra_stmarks_12_1aar_snm";"nra_dg_snm";"St. Mark’s Inkontinensskår ≤12 etter operasjon med SNM";"andel";5;0,5;0,5;1;"Andel pasienter med symptomskår ≤12 av 24 mulige poeng 1 år etter operasjon.";"St. Mark’s inkontinensskår er en modifikasjon av Wexner inkontinensskår, og er et av de mest brukte skåringverktøyene for å få et objektivt mål på grad av anal inkontinens. Wexner skår går fra 0-20, mens St. Mark’s fra 0-24, der 0 representerer komplett kontinens (ingen lekkasje), og 20/24 fullstendig inkontinens. En Wexner eller St. Mark’s skår på 9 eller mindre etter behandling, er ansett å være av klinisk signifikant betydning og assosiert med økt livskvalitet. Fagrådet i NRA har definert følgende kvalitetsmål for resultatindikator St. Mark’s og Wexner: 30% av pasientene skal ha en St. Mark’s eller Wexner skår på 9 eller mindre, 1 og 5 år etter operasjon. 50% av pasienten skal ha en St. Mark’s eller Wexner skår på 12 eller mindre, 1 og 5 år etter operasjon. Pasienter med preskår under henholdsvis 9 og 12 er ekskludert fra de respektive analysene."
"nra_stmarks_12_5aar_sfinkt";"nra_dg_sfinkter";"St. Mark’s Inkontinensskår ≤12 etter operasjon med sfinkterplastikk";"andel";5;0,5;0,5;1;"Andel pasienter med symptomskår ≤12 av 24 mulige poeng 5 år etter operasjon.";"St. Mark’s inkontinensskår er en modifikasjon av Wexner inkontinensskår, og er et av de mest brukte skåringverktøyene for å få et objektivt mål på grad av anal inkontinens. Wexner skår går fra 0-20, mens St. Mark’s fra 0-24, der 0 representerer komplett kontinens (ingen lekkasje), og 20/24 fullstendig inkontinens. En Wexner eller St. Mark’s skår på 9 eller mindre etter behandling, er ansett å være av klinisk signifikant betydning og assosiert med økt livskvalitet. Fagrådet i NRA har definert følgende kvalitetsmål for resultatindikator St. Mark’s og Wexner: 30% av pasientene skal ha en St. Mark’s eller Wexner skår på 9 eller mindre, 1 og 5 år etter operasjon. 50% av pasienten skal ha en St. Mark’s eller Wexner skår på 12 eller mindre, 1 og 5 år etter operasjon. Pasienter med preskår under henholdsvis 9 og 12 er ekskludert fra de respektive analysene."
"nra_stmarks_12_5aar_snm";"nra_dg_snm";"St. Mark’s Inkontinensskår ≤12 etter operasjon med SNM";"andel";5;0,5;0,5;1;"Andel pasienter med symptomskår ≤12 av 24 mulige poeng  5 år etter operasjon.";"St. Mark’s inkontinensskår er en modifikasjon av Wexner inkontinensskår, og er et av de mest brukte skåringverktøyene for å få et objektivt mål på grad av anal inkontinens. Wexner skår går fra 0-20, mens St. Mark’s fra 0-24, der 0 representerer komplett kontinens (ingen lekkasje), og 20/24 fullstendig inkontinens. En Wexner eller St. Mark’s skår på 9 eller mindre etter behandling, er ansett å være av klinisk signifikant betydning og assosiert med økt livskvalitet. Fagrådet i NRA har definert følgende kvalitetsmål for resultatindikator St. Mark’s og Wexner:  30% av pasientene skal ha en St. Mark’s eller Wexner skår på 9 eller mindre, 1 og 5 år etter operasjon. 50% av pasienten skal ha en St. Mark’s eller Wexner skår på 12 eller mindre, 1 og 5 år etter operasjon. Pasienter med preskår under henholdsvis 9 og 12 er ekskludert fra de respektive analysene."
"nra_stmarks_9_1aar_sfinkt";"nra_dg_sfinkter";"St. Mark’s Inkontinensskår ≤9 etter operasjon med sfinkterplastikk";"andel";5;0,3;0,3;1;"Andel pasienter med symptomskår ≤9 av 24 mulige poeng 1 år etter operasjon.";"St. Mark’s inkontinensskår er en modifikasjon av Wexner inkontinensskår, og er et av de mest brukte skåringverktøyene for å få et objektivt mål på grad av anal inkontinens. Wexner skår går fra 0-20, mens St. Mark’s fra 0-24, der 0 representerer komplett kontinens (ingen lekkasje), og 20/24 fullstendig inkontinens. En Wexner eller St. Mark’s skår på 9 eller mindre etter behandling, er ansett å være av klinisk signifikant betydning og assosiert med økt livskvalitet. Fagrådet i NRA har definert følgende kvalitetsmål for resultatindikator St. Mark’s og Wexner:  30% av pasientene skal ha en St. Mark’s eller Wexner skår på 9 eller mindre, 1 og 5 år etter operasjon. 50% av pasienten skal ha en St. Mark’s eller Wexner skår på 12 eller mindre, 1 og 5 år etter operasjon. Pasienter med preskår under henholdsvis 9 og 12 er ekskludert fra de respektive analysene."
"nra_stmarks_9_1aar_snm";"nra_dg_snm";"St. Mark’s Inkontinensskår ≤9 etter operasjon med SNM";"andel";5;0,3;0,3;1;"Andel pasienter med symptomskår ≤9 av 24 mulige poeng 1 år etter operasjon.";"St. Mark’s inkontinensskår er en modifikasjon av Wexner inkontinensskår, og er et av de mest brukte skåringverktøyene for å få et objektivt mål på grad av anal inkontinens. Wexner skår går fra 0-20, mens St. Mark’s fra 0-24, der 0 representerer komplett kontinens (ingen lekkasje), og 20/24 fullstendig inkontinens. En Wexner eller St. Mark’s skår på 9 eller mindre etter behandling, er ansett å være av klinisk signifikant betydning og assosiert med økt livskvalitet. Fagrådet i NRA har definert følgende kvalitetsmål for resultatindikator St. Mark’s og Wexner: 30% av pasientene skal ha en St. Mark’s eller Wexner skår på 9 eller mindre, 1 og 5 år etter operasjon. 50% av pasienten skal ha en St. Mark’s eller Wexner skår på 12 eller mindre, 1 og 5 år etter operasjon. Pasienter med preskår under henholdsvis 9 og 12 er ekskludert fra de respektive analysene."
"nra_stmarks_9_5aar_sfinkt";"nra_dg_sfinkter";"St. Mark’s Inkontinensskår ≤9 etter operasjon med sfinkterplastikk";"andel";5;0,3;0,3;1;"Andel pasienter med symptomskår ≤9 av 20 mulige poeng  5 år etter operasjon.";"St. Mark’s inkontinensskår er en modifikasjon av Wexner inkontinensskår, og er et av de mest brukte skåringverktøyene for å få et objektivt mål på grad av anal inkontinens. Wexner skår går fra 0-20, mens St. Mark’s fra 0-24, der 0 representerer komplett kontinens (ingen lekkasje), og 20/24 fullstendig inkontinens. En Wexner eller St. Mark’s skår på 9 eller mindre etter behandling, er ansett å være av klinisk signifikant betydning og assosiert med økt livskvalitet. Fagrådet i NRA har definert følgende kvalitetsmål for resultatindikator St. Mark’s og Wexner:  30% av pasientene skal ha en St. Mark’s eller Wexner skår på 9 eller mindre, 1 og 5 år etter operasjon. 50% av pasienten skal ha en St. Mark’s eller Wexner skår på 12 eller mindre, 1 og 5 år etter operasjon. Pasienter med preskår under henholdsvis 9 og 12 er ekskludert fra de respektive analysene."
"nra_stmarks_9_5aar_snm";"nra_dg_snm";"St. Mark’s Inkontinensskår ≤9 etter operasjon med SNM";"andel";5;0,3;0,3;1;"Andel pasienter med symptomskår ≤9 av 24 mulige poeng  5 år etter operasjon.";"St. Mark’s inkontinensskår er en modifikasjon av Wexner inkontinensskår, og er et av de mest brukte skåringverktøyene for å få et objektivt mål på grad av anal inkontinens. Wexner skår går fra 0-20, mens St. Mark’s fra 0-24, der 0 representerer komplett kontinens (ingen lekkasje), og 20/24 fullstendig inkontinens. En Wexner eller St. Mark’s skår på 9 eller mindre etter behandling, er ansett å være av klinisk signifikant betydning og assosiert med økt livskvalitet. Fagrådet i NRA har definert følgende kvalitetsmål for resultatindikator St. Mark’s og Wexner: 30% av pasientene skal ha en St. Mark’s eller Wexner skår på 9 eller mindre, 1 og 5 år etter operasjon. 50% av pasienten skal ha en St. Mark’s eller Wexner skår på 12 eller mindre, 1 og 5 år etter operasjon. Pasienter med preskår under henholdsvis 9 og 12 er ekskludert fra de respektive analysene."
"nra_saarinfeksjon";"nra_dg_snm";"Sårinfeksjon etter sakral nervemodulering  (SNM)";"andel";5;0,04;0,04;0;"Bekreftet sårinfeksjon innen 30 dager etter implantasjon av stimulator.";"Sårinfeksjon er sjeldent ved SNM, men kan alltid forekomme ved implantasjoner. Årsakene er komplekse og kan henge sammen med pasientens alder, allmenntilstand og bruk av medisiner. Lang operasjonstid, komplikasjoner, bruk av forebyggende antibiotika og hygienetiltak kan være av betydning. Indikatoren angir andel pasienter som har fått bekreftet sårinfeksjon innen 30 dager etter prosedyre."
"nra_ultralyd";"nra_dg_total";"Gradering av skade på lukkemuskel før operasjon";"andel";5;0,95;0,95;1;"95% skal ha gjennomgått ultralydvurdering for å kartlegge omfang av skade.";"Ultralyd er gullstandard for å kartlegge om det foreligger skade på lukkemuskel, samt omfanget av en eventuell skade. Dette er en viktig prosessindikator som er med på å sikre at rett intervensjon tilbys til rett pasient."
"nra_wexner_12_1aar_snm";"nra_dg_snm";"Wexner Inkontinensskår ≤12 etter operasjon med SNM";"andel";5;0,5;0,5;1;"Andel pasienter med symptomskår ≤12 av 20 mulige poeng 1 år etter operasjon.";"St. Mark’s inkontinensskår er en modifikasjon av Wexner inkontinensskår, og er et av de mest brukte skåringverktøyene for å få et objektivt mål på grad av anal inkontinens. Wexner skår går fra 0-20, mens St. Mark’s fra 0-24, der 0 representerer komplett kontinens (ingen lekkasje), og 20/24 fullstendig inkontinens. En Wexner eller St. Mark’s skår på 9 eller mindre etter behandling, er ansett å være av klinisk signifikant betydning og assosiert med økt livskvalitet. Fagrådet i NRA har definert følgende kvalitetsmål for resultatindikator St. Mark’s og Wexner: 30% av pasientene skal ha en St. Mark’s eller Wexner skår på 9 eller mindre, 1 og 5 år etter operasjon. 50% av pasienten skal ha en St. Mark’s eller Wexner skår på 12 eller mindre, 1 og 5 år etter operasjon. Pasienter med preskår under henholdsvis 9 og 12 er ekskludert fra de respektive analysene."
"nra_wexner_9_1aar_snm";"nra_dg_snm";"Wexner Inkontinensskår ≤9 etter operasjon med SNM";"andel";5;0,3;0,3;1;"Andel pasienter med symptomskår ≤9 av 20 mulige poeng 1 år etter operasjon.";"St. Mark’s inkontinensskår er en modifikasjon av Wexner inkontinensskår, og er et av de mest brukte skåringverktøyene for å få et objektivt mål på grad av anal inkontinens. Wexner skår går fra 0-20, mens St. Mark’s fra 0-24, der 0 representerer komplett kontinens (ingen lekkasje), og 20/24 fullstendig inkontinens. En Wexner eller St. Mark’s skår på 9 eller mindre etter behandling, er ansett å være av klinisk signifikant betydning og assosiert med økt livskvalitet. Fagrådet i NRA har definert følgende kvalitetsmål for resultatindikator St. Mark’s og Wexner: 30% av pasientene skal ha en St. Mark’s eller Wexner skår på 9 eller mindre, 1 og 5 år etter operasjon. 50% av pasienten skal ha en St. Mark’s eller Wexner skår på 12 eller mindre, 1 og 5 år etter operasjon. Pasienter med preskår under henholdsvis 9 og 12 er ekskludert fra de respektive analysene."
