"id";"dg_id";"title";"type";"min_denominator";"level_green";"level_yellow";"level_direction";"short_description";"long_description"
"nyre_biopsi_10glomeruli";"nyre_dg";"Biopsier med minst 10 glomeruli (biopsi)";"andel";10;0,9;0,8;1;"For å kunne vurdere en nyrebiopsi og gi en sikker diagnose må den inneholde nok av de ulike bestanddelene i nyren, som for eksempel glomeruli. Høyt målnivå er ønskelig.";"Antall glomeruli måler kvaliteten på selve biopsitakingen. Diagnostiske nyrebiopsier skal tas fra den ytre delen av nyren. Siden ikke alle deler av nyren nødvendigvis er påvirket av nyresykdom er det viktig at man får med seg et minimum av de ulike strukturene, som for eksempel arterier, glomeruli og tubuli, slik at patologen kan stille en sikker diagnose. Erfaringsmessig gir biopsier med minst 10 glomeruli nok informasjon til at patologen kan stille en diagnose. Andelen biopsier med minst 10 glomeruli beregnes ved å dividere antall biopsier med minst 10 glomeruli med totalt antall biopsier ved senteret i løpet av et år. Biopsier som tas i forbindelse med kreft eller nyretransplantasjon telles ikke med i denne indikatoren."
"nyre_biopsi_forandr";"nyre_dg";"Primære biopsier med moderate til uttalte kroniske forandringer (biopsi)";"andel";10;0,3;0,4;0;"Tidlig utredning av nyresykdom er viktig for riktig behandling. Hvis man venter for lenge med å ta biopsi for å finne ut type nyresykdom er nyren allerede vesentlig skadet. Lavt målnivå er ønskelig.";"Denne indikatoren gir et mål på om pasienten blir utredet for nyresykdom tidlig nok i sykdomsforløpet. Under utviklingen av nyresykdom blir nyrene gradvis mer og mer skadet. Tidlig nok biopsi er viktig for å kunne stille korrekt diagnose og tilby tilpasset behandling som kan forsinke den videre utviklingen av nyresykdommen. Hvis den første biopsien som blir tatt i forbindelse med utredning av nyresykdom viser moderate til uttalte kroniske forandringer er det et tegn på at biopsien er tatt sent i sykdomsforløpet og utredningsforløpet ikke har vært optimalt. Andelen blir beregnet ved å dividere antallet biopsier som viser moderat til uttalte kroniske forandringer med totalt antall biopsier ved sentret  Noen pasienter har flere nyrebiopsier, For beregningen brukes kun den første biopsien tatt fra en pasient. Biopsier i forbindelse med kreft eller transplantasjon telles ikke med i denne indikatoren."
"nyre_biopsi_kompl";"nyre_dg";"Alvorlige komplikasjoner etter biopsi (biopsi)";"andel";10;0,02;0,05;0;"I forbindelse med at man tar en biopsi kan det oppstå komplikasjoner som bl.a. blødning. Lavt målnivå er ønskelig.";"Denne indikatoren måler sikkerhet ved biopsitaking. Alvorlige komplikasjoner defineres som de tilfellene der det trengs en intervensjon eller at pasientene trenger blodoverføring etter at biopsien er tatt. Mindre blødninger som stopper av seg selv telles ikke med i denne indikatoren. Andelen beregnes per senter som utfører nyrebiopsier ved å dividere antall biopsier med etterfølgende behov for intervensjon/blodoverføring med totalt antall biopsier utført ved sentret i løpet av et år. Biopsier i forbindelse med kreft eller transplantasjon telles ikke med i denne indikatoren."
"nyre_biopsi_svar1mnd";"nyre_dg";"Endelig biopsisvar fra patologiavdelinger innen 1 mnd (biopsi)";"andel";10;0,8;0,7;1;"Et sentralt mål på hvor godt rutiner og strukturer i utredningsapparatet for nyresykdom fungerer er hvor fort patologiavdelingene får sett på biopsier og sender endelig svar. Høyt målnivå er ønskelig.";"Denne indikatoren måler rutiner og struktur i utredningsappratet for nyresykdom. For å kunne tilby pasienten riktig behandling er det en forutsetning å kunne fastsette riktig diagnose. Jo fortere behandlende lege får tilbake svaret fra patologiavdelingene etter at en biopsi er tatt jo fortere er riktig diagnose satt og behandlingen kan velges. Et endelig biopsisvar gis etter at alle undersøkelser inkludert elektronmikroskopi er gjennomført. Andelen beregnes ved å dividere antallet biopsier ved et senter som blir endelig besvart i løpet av 1 måned med totalt antall biopsier som er tatt ved samme patologiavdeling. Biopsier i forbindelse med kreft eller transplantasjon telles ikke med i denne indikatoren"
"nyre_ckd5_bikarbonat";"nyre_dg";"Plasma bikarbonat >20 mmol/L (CKD5)";"andel";10;0,75;0,65;1;"Kroppen blir sur (lavt pH) når nyrefunksjonen reduseres og behandling med legemidler er nødvendig for å korrigere. Høyt målnivå er ønskelig.";"Denne indikatoren måler hvor godt den generelle nyresviktbehandlingen gjennomføres i henhold til guidelines hos pasienter som er kommet i stadium 5 nyresvikt men som ikke har startet nyreerstattende behandling (dialyse eller nyretransplantasjon). Nyrene regulerer syre-base balansen i kroppen og ved nyresvikt blir det et syreoverskudd i kroppen. Grad av syreoverskudd påvirker dødelighet og progresjon av nyresykdommen.  Syreoverskudd kan behandles ved å tilføre kroppen basiske stoffer, som bikarbonat. Andelen beregnes ved å dividere antallet årsskjemaer per senter med pasienter som har nådd dette målet med totalt antall åresskjemaer per senter tilhørende denne gruppen."
"nyre_ckd5_bt";"nyre_dg";"Blodtrykk <140/90 (CKD5)";"andel";10;0,75;0,65;1;"Blodtrykksbehandling har stor effekt på utvikling av nyresykdom. Høyt målnivå er ønskelig.";"Denne indikatoren måler hvor godt blodtrykksbehandlingen gjennomføres i henhold til guidelines hos pasienter som er kommet i stadium 5 nyresvikt men som ikke har startet nyreerstattende behandling (dialyse eller nyretransplantasjon). God blodtrykkskontroll er den per i dag viktigste behandlingen for å utsette behov for nyreerstattende behandling. I henhold til guidelines bør blodtrykket være lavere enn 140/90 mmHg. Ikke alle pasienter vil kunne nå dette målet til tross for intensiv blodtrykkssenkende behandling, for eksempel på grunn av bivirkninger. Andelen beregnes ved å dividere antallet årsskjemaer per senter med pasienter som har nådd dette målet med totalt antall åresskjemaer per senter tilhørende denne gruppen."
"nyre_ckd5_fosfat";"nyre_dg";"Plasma fosfat <1,5 mmol/L (CKD5)";"andel";10;0,75;0,65;1;"Fosfatnivået i blodet øker når nyrefunksjonen reduseres og behandling med legemidler er nødvendig for å holde nivået under grenseverdier. Høyt målnivå er ønskelig.";"Denne indikatoren måler hvor godt den generelle nyresviktbehandlingen gjennomføres i henhold til guidelines hos pasienter som er kommet i stadium 5 nyresvikt men som ikke har startet nyreerstattende behandling (dialyse eller nyretransplantasjon). Når nyrene ikke lengre klarer å rense blodet godt nok må man utføre tiltak så at sammensetningen i blodet ikke blir for påvirket av dette. Et tiltak er å hindre at pasienten får i seg mye fosfat ved å spise fosfat fattig kost og hindre opptak av fosfat fra tarmen ved hjelp av legemidler. Andelen beregnes ved å dividere antallet årsskjemaer per senter med pasienter som har nådd dette målet med totalt antall åresskjemaer per senter tilhørende denne gruppen."
"nyre_ckd5_hg";"nyre_dg";"Hemoglobin >10 g/dL (10-12 g/dL hvis EPO terapi) (CKD5)";"andel";10;0,75;0,65;1;"Nyrene stimulerer bloddannelse ved å produsere EPO og med redusert nyrefunksjon får pasientene blodbrist (anemi) og trenger å få tilført kunstig EPO. Høyt målnivå er ønskelig.";"Denne indikatoren måler hvor godt anemibehandlingen gjennomføres i henhold til guidelines hos pasienter som er kommet i stadium 5 nyresvikt men som ikke har startet nyreerstattende behandling (dialyse eller nyretransplantasjon). Nyrene stimulerer produksjon av røde blodceller ved å produsere EPO. Ved nyresvikt må pasientene få kunstig EPO for å ikke bli blodfattige (anemiske). I henhold til guidelines skal hemoglobinnivået ikke fullt ut korrigeres ved hjelp av kunstig EPO. Andelen beregnes ved å dividere antallet årsskjemaer per senter med pasienter som har nådd dette målet med totalt antall åresskjemaer per senter tilhørende denne gruppen."
"nyre_ckd5_nyreskole";"nyre_dg";"Gjennomført ""Nyreskole"" (CKD5)";"andel";10;0,75;0,65;1;"Pasienter som utvikler nyresvikt bør skoleres i sin sykdom og få informasjon om hvilke behandlingsalternativ som finnes for at i god tid kunne planlegge behandlingen. Høyt måltall er ønskelig.";"Denne indikatoren måler hvor godt behandlingen tilpasses den enkelte pasient og planlegge i god nok tid. Det er viktig at pasienten får tilbud om opplæring i sin nye sykdom så at han/hun kan fatte informerte beslutninger sammen med behandlende lege om hvilken behandling som vil passe best for han/hun. Andelen beregnes ved å dividere antallet nye pasienter per senter som har gjennomført eller takket nei til deltakelse på «nyreskole» med totalt antall nye pasienter per senter tilhørende denne gruppen i løpet av et år."
"nyre_dg";"";"Dekningsgrad årsskjemaer";"andel";10;0,95;0,9;1;"Det skal leveres behandlingsdata på pasienter i registeret på sluttet av hvert år. Høy andel leverte skjemaer er ønskelig.";"Dekningsgraden på individnivå i registeret er >95%. Antall pasienter i respektive behandling (prevalens) telles opp for hvert senter per 31. desember hvert år. Alle pasienter som ikke har startet respektive behandling i løpet av de siste 3 måneder før årsskiftet skal levere årsskjemaer. Årsskjemadekningsgraden bestemmes for hvert senter ved å beregne andelen av disse pasientene som det er levert skjema på [antall leverte skjemaer for pasienter på listen/antall pasienter på listen]."
"nyre_dialyse_hjemme";"nyre_dg";"Hjemmedialyse (dialyse)";"andel";10;0,3;0,2;1;"Hemodialyse foregår vanligvis på sykehus men noen pasienter kan enten bruke peritonealdialyse eller ha en dialysemaskin hjemme og dermed utføre dialysen hjemme. Høyt målnivå er ønskelig.";"Denne indikatoren måler om dialysebehandlingen individualiseres i stor nok grad. Dette er en nasjonal kvalitetsindikator og rapporteres av Helsedirektoratet på helsenorge.no tre ganger per år."
"nyre_dialyse_kjent";"nyre_dg";"Pasienter kjent ved oppstart dialyse (dialyse)";"andel";10;0,75;0,65;1;"Det er viktig at nyreavdelingene får henvist pasienter tidlig nok så at dialysebehandling kan planlegges og forberedes i god tid. Høyt målnivå er ønskelig.";"Denne indikatoren måler henvisningspraksis fra primærhelsetjenesten til nyreavdelingene rundt om i landet. Henvising til spesialist er viktig for å optimalisere utsettelse for behov av nyreerstattende behandling så godt som mulig og samtidig ha god nok tid til å planlegge fremtidig behandling godt. Ikke alle pasienter har en progresjon av sin nyresvikt som gjør dette mulig (for eksempel ved akutt nyresvikt). Andelen beregnes ved å dividere antallet nye pasienter per senter som har vært kjent ved nyreavdelingen i minst 4 måneder før oppstart i dialyse med totalt antall nye pasienter som starter dialyse per senter i løpet av et år. Dekningsgraden på individnivå i 2018 er 100% men det mangler informasjon om denne indikatoren hos 2,8% av pasientene."
"nyre_hemodia_fistel";"nyre_dg";"Start hemodialyse på fistel (hemodialyse)";"andel";10;0,75;0,65;1;"Ved hemodialyse renses pasientens blod i en maskin. Hvis mulig bør man stikke pasienten i en fistel ved hver dialyse istedenfor å bruke et permanent kateter. Høyt målnivå er ønskelig.";"Denne indikatoren måler struktur og interne rutiner for å planlegge start oppstart av hemodialyse. For å gjennomføre hemodialyse må man opprette en blodtilgang. Å anlegge en AV-fistel som man kan stikke i ved hver dialyse er å foretrekke hos de fleste pasienter da fistel sammenlignet med dialysekatetre er forbundet med mindre komplikasjoner. Anleggelse av AV-fistel (karoperasjon) må planlegges og utføres i god nok tid til at den er «moden» og kan tas i bruk ved oppstart av hemodialyse.  Andelen beregnes ved å dividere antallet nye hemodialysepasienter per senter som har vært kjent ved nyreavdelingen i minst 4 måneder før oppstart i dialyse som starter på fistel med totalt antall nye hemodialysepasienter som har vært kjent ved nyreavdelingen i minst 4 måneder før oppstart som starter dialyse per senter i løpet av et år. Dekningsgraden på individnivå i 2018 er 100% men det mangler informasjon om denne indikatoren hos 1,9% av pasientene."
"nyre_hemodia_fosfat";"nyre_dg";"Predialytisk plasma fosfat <1,78 mmol/L (hemodialyse)";"andel";10;0,75;0,65;1;"Blodet renses for avfallsstoffer ved dialyse når nyrene ikke lengre klarer jobben. Hvis dialysebehandlingen ikke er god nok blir fosfatnivået for høyt mellom hver dialyse. Høyt målnivå er ønskelig.";"Denne indikatoren måler fokus på metabolske forstyrrelser og komplikasjoner i hemodialysebehandlingen. Fosfat fjernes via filtrering i nyrene og ved nyresvikt må dialysebehandlingen overta denne funksjonen. Hvis fosfatnivået er for høyt rett før neste dialyse sesjon er det et tegn på at den totale dialysen i løpet av en uke ikke er god nok. Andelen beregnes ved å dividere antallet årsskjemaer per senter med pasienter som har nådd dette målet med totalt antall åresskjemaer per senter tilhørende denne gruppen. Resultater presentert på denne indikatoren er basert på data fra 78% av alle pasientene i hemodialyse i 2018."
