"id";"dg_id";"title";"type";"min_denominator";"level_green";"level_yellow";"level_direction";"short_description";"long_description"
"traume_ct_ankomst";"";"Andel CT";"andel";10;NA;NA;1;"Andel CT undersøkelse ved ankomst akuttmottak";"Andel Ct undersøkelse ved ankomst akuttmottak, sykehus 1 og tatt imot med traumealarm"
"traume_ct_iss15";"";"Andel CT undersøkelse";"andel";10;NA;NA;1;"Andel CT undersøkelse med ISS >15, mottak";"Andel CT undersøkelse ved ankomst akuttmottak av pasienter med ISS >15, sykehus 1 og tatt imot med traumealarm"
"traume_ct_iss4";"";"CT undersøkelse ISS under 4";"andel";10;NA;NA;1;"Andel CT undersøkelse på pasienter med ISS >4";"Andel CT undersøkelse ved ankomst akuttmottak av pasienter med ISS >4, sykehus 1 og tatt imot med traumealarm"
"traume_intuberte_mottak";"";"Andel intuberte pasienter";"andel";10;NA;NA;1;"Andel intuberte pasienter i mottak med GCS <9";"Andel pasienter som har redusert bevissthet (GCS >9) og som blir intubert ved ankomst akuttmottak. De som allerede er intubert prehospitalt er ekskludert"
"traume_intuberte_prehospital";"";"Andel intuberte pasienter";"andel";10;NA;NA;1;"Andel intuberte pasienter prehospitalt med GCS <9";"Andel pasienter med redusert bevissthet (GCS >9) som blir intubert prehospitalt"
"traume_mortalitet";"";"Mortalitet";"andel";10;NA;NA;0;"Andel pasienter som dør innen 30 dgr";"Andel pasienter som dør innen 30 dager etter skade, sukehus 1 og tatt imot med traumealarm"
"traume_registrerte";"";"Antall registrerte";"andel";10;NA;NA;1;"Antall registreret traumepasienter innen 3 mnd";"Antall registrerte traumepasienter registrert inn i NTR innen 3 mnd etter skade, sykehus 1 og tatt imot med traumealarm"
"traume_rontgen_bekken";"";"Andel røntgen bekken";"andel";10;0,7;0,49;1;"Andel røntgen bekken ved ankomst akuttmottak";"Andel røntgen bekken ved ankomst akuttmottak, sykehus 1 og tatt imot med traumealarm"
"traume_rontgen_bekken_iss15";"";"Andel røntgen bekken, ISS >15";"andel";10;NA;NA;1;"Andel tøntgen bekken med ISS >15, mottak";"Andel røntgen bekken ved ankomst akuttmottak av pasienter med ISS >15 , sykehus 1 og tatt imot med traumealarm"
"traume_rontgen_thorax";"";"Andel røntgen thorax";"andel";10;0,9;0,69;1;"Andel røntgen thorax ved ankomst akuttmottak";"Andel røntgen thorax ved ankomst akuttmottak, sykehus 1 og tatt imot med traumealarm"
"traume_rontgen_thorax_iss15";"";"Andel røntgen thorax, ISS >15";"andel";10;NA;NA;1;"Andel røntgen thorax med ISS >15, mottak";"Andel røntgen thorax ved ankomst akuttmottak av pasienter med ISS >15, sykehus 1 og tatt imot med traumealarm"
